image60_size	jp_only	name	image40_href	image40_size	rarity	active_skill	atk_max	id	rcv_scale	team_cost	leader_skill	hp_scale	version	atk_scale	rcv_min	atk_min	rcv_max	monster_points	type3	hp_max	element2	element	type2	max_level	awoken_skills	hp_min	name_jp	image60_href	feed_xp	xp_curve	type	
7188	False	Awoken Shinji&Eva Unit-01	/static/img/monsters/40x40/698.2018ad3e7e40.png	3860	5	I mustn't run away	1823	698	1.0	15	NERV Specifications	1.0	293	1.0	104	669	218	3000	None	2098	1	1	8	99	[23, 15, 9]	799	シンジ&エヴァ初号機・覚醒	/static/img/monsters/60x60/698.9fee4f2525bf.png	750.0	3000000	6	
11799	False	Mari&Eva Provisional Unit-05	/static/img/monsters/40x40/699.228b0d6d3633.png	4723	4	All right, understood!	756	699	1.0	10	Local Specifications	1.0	293	1.0	41	168	86	3000	None	1067	None	2	8	50	[]	237	マリ&エヴァ仮設5号機	/static/img/monsters/60x60/699.aa67855fbb1e.png	525.0	1500000	6	
8286	False	Mari&Eva Unit-08	/static/img/monsters/40x40/700.0fca4a0b8f31.png	4138	5	All right, understood!	1900	700	1.0	15	Local Specifications	1.0	293	1.0	77	680	162	3000	None	2135	2	2	8	99	[24, 16, 24]	854	マリ&エヴァ8号機	/static/img/monsters/60x60/700.9ec747732cf2.png	750.0	3000000	6	
11260	False	Rei&Eva Unit-00	/static/img/monsters/40x40/701.3b5fc28ca97b.png	4632	4	I will protect you	684	701	1.0	10	Retrofit Specifications	1.0	293	1.0	87	152	183	3000	None	918	None	3	8	50	[]	204	レイ&エヴァ零号機	/static/img/monsters/60x60/701.4d5a94e80cd6.png	525.0	1500000	6	
7278	False	Rei&Eva Unit-00, Suicide ATK Mode	/static/img/monsters/40x40/702.21d8af4e940c.png	3838	5	I will protect you	1690	702	1.0	15	Retrofit Specifications	1.0	293	1.0	165	616	347	3000	None	1935	3	3	8	99	[25, 17, 9]	734	レイ&エヴァ零号機・特攻	/static/img/monsters/60x60/702.09bb5b1cafd3.png	750.0	3000000	6	
11465	False	Kaworu&Mark06, Under Construction	/static/img/monsters/40x40/703.4c6b5c8c851e.png	4608	4	The promised time has come	734	703	1.0	10	Sacrament of SEELE	1.0	293	1.0	66	163	139	3000	None	945	None	4	8	50	[]	210	カヲル&Mark.06・建造中	/static/img/monsters/60x60/703.15597b9439ef.png	525.0	1500000	6	
7963	False	Kaworu&Mark.06	/static/img/monsters/40x40/704.30633a3f5f87.png	4192	5	The promised time has come	1853	704	1.0	15	Sacrament of SEELE	1.0	293	1.0	125	661	263	3000	None	1890	4	4	8	99	[26, 18, 19]	756	カヲル&Mark.06	/static/img/monsters/60x60/704.e671b9e55f5f.png	750.0	3000000	6	
12315	False	Shinji&Kaworu&Unit-13	/static/img/monsters/40x40/705.8fa400eac6bf.png	4960	5	Time has come...	851	705	1.0	25	Double Entry System	1.0	293	1.0	61	189	116	5000	None	1085	4	1	8	50	[]	241	シンジ&カヲル&第13号機	/static/img/monsters/60x60/705.eb36a2792ce9.png	1125.0	4000000	6	
12132	False	Awoken Shinji&Kaworu&Unit-13	/static/img/monsters/40x40/706.1c6e8ae89eef.png	4810	6	Time has come...	1915	706	1.0	30	Double Entry System	1.0	293	1.0	104	766	198	5000	None	2470	4	1	8	99	[23, 28, 27, 21]	868	シンジ&カヲル&第13号機・覚醒	/static/img/monsters/60x60/706.799c94d26442.png	1350.0	4000000	6	
8113	False	The Fifth Angel	/static/img/monsters/40x40/707.6af234567a59.png	3806	3	None	378	707	1.0	10	A.T. Field	1.0	293	1.0	55	84	116	1	None	891	None	0	6	25	[]	198	第5の使徒	/static/img/monsters/60x60/707.d119b2e15647.png	488.0	1500000	5	
8704	False	The Fifth Angel - Assault Mode	/static/img/monsters/40x40/708.6e9e532a3cec.png	4009	4	Quick Heal	850	708	1.0	15	A.T. Field	1.0	293	1.0	104	340	218	1	None	1783	None	0	6	70	[4, 14]	713	第5の使徒・戦闘形態	/static/img/monsters/60x60/708.2ed24eb66d83.png	713.0	3000000	5	
9749	False	The Sixth Angel	/static/img/monsters/40x40/709.66c18597dba7.png	4347	3	None	495	709	1.0	10	A.T. Field	1.0	293	1.0	54	110	113	1	None	635	None	3	6	25	[]	141	第6の使徒	/static/img/monsters/60x60/709.278d69e16a43.png	488.0	1500000	5	
9998	False	The Sixth Angel - Assault Mode	/static/img/monsters/40x40/710.119eeaf56f27.png	4272	4	Evil Nova	1115	710	1.0	15	A.T. Field	1.0	293	1.0	102	446	214	1	None	1270	None	3	6	70	[7, 17]	508	第6の使徒・戦闘形態	/static/img/monsters/60x60/710.c533cf026539.png	713.0	3000000	5	
10216	False	The Tenth Angel	/static/img/monsters/40x40/711.06907aae9749.png	4254	5	Critical Rejection	500	711	1.0	20	Multi-layer A.T. Field	1.0	513	1.0	47	111	99	10	None	1485	None	4	6	50	[]	330	第10の使徒	/static/img/monsters/60x60/711.a8ebeaafd98d.png	938.0	1500000	5	
9648	False	The Tenth Angel - Assault Mode	/static/img/monsters/40x40/712.27f62561d941.png	4553	6	Critical Rejection	1125	712	1.0	25	Multi-layer A.T. Field	1.0	513	1.0	89	450	187	10	None	2970	None	4	6	99	[18, 26]	1188	第10の使徒・戦闘形態	/static/img/monsters/60x60/712.ce19857edacb.png	1163.0	3000000	5	
9725	False	The Fourth Angel	/static/img/monsters/40x40/713.795437b9fcbc.png	4523	3	None	162	713	1.0	10	A.T. Field	1.0	293	1.0	97	36	204	1	None	1094	None	4	6	25	[]	243	第4の使徒	/static/img/monsters/60x60/713.7c2941756f23.png	488.0	1500000	5	
10810	False	The Fourth Angel - Assault Mode	/static/img/monsters/40x40/714.37d46ddbc7fe.png	4813	4	Gungnir	365	714	1.0	15	A.T. Field	1.0	293	1.0	184	146	386	1	None	2188	None	4	6	70	[8, 18]	875	第4の使徒・戦闘形態	/static/img/monsters/60x60/714.f3276d5cbf94.png	713.0	3000000	5	
12918	False	Blazing King Apollo	/static/img/monsters/40x40/715.da956f9e2a64.png	5052	6	Flame of Olympus	1287	715	1.0	25	Searing Explosion	1.0	293	1.0	188	823	282	1	None	2569	0	0	None	99	[14, 22]	1213	灼炎王アポロ	/static/img/monsters/60x60/715.c01b2a3dcbfb.png	1163.0	4000000	1	
12994	False	Awoken Light Dragon King Saiga	/static/img/monsters/40x40/716.bae72afbe442.png	5087	7	Shinrabansho	1197	716	1.0	55	Ouha Binding	1.0	293	1.0	145	873	218	1	None	2826	3	2	1	99	[17, 21]	1239	完全覚醒・光龍王サイガ	/static/img/monsters/60x60/716.d26482538c2c.png	2325.0	4000000	4	
14681	False	Neneko	/static/img/monsters/40x40/717.e71e152bb1ad.png	7348	2	Ninja Art Dk to Wt	316	717	1.0	5	None	1.0	293	1.0	24	58	165	1	None	582	None	1	None	30	[]	102	ねねこ	/static/img/monsters/60x60/717.06e3d709e02d.png	600.0	1500000	1	
12413	False	Hamahime	/static/img/monsters/40x40/718.de2c52c2619a.png	4858	2	Ninja Art Fr to Dk	358	718	1.0	5	None	1.0	293	1.0	27	71	172	1	None	473	None	4	None	30	[]	88	はまひめ	/static/img/monsters/60x60/718.3f1b5ceff50a.png	600.0	1500000	7	
12745	False	Green Skydragon Elysium	/static/img/monsters/40x40/719.cabe228161dc.png	4706	6	God Hell Breath	1771	719	1.0	25	Power of Gaia	1.0	293	1.0	111	432	222	5	None	1591	None	2	6	99	[16, 21]	312	翠天龍・エリュシオン	/static/img/monsters/60x60/719.952b02953b60.png	1725.0	4000000	4	
11126	False	CoC Barbarian	/static/img/monsters/40x40/720.c1aa4230116c.png	4600	3	None	387	720	1.0	5	Light Power	1.0	293	1.0	1	86	2	1	None	1260	None	3	None	25	[]	280	CoC・バーバリアン	/static/img/monsters/60x60/720.a72b81907998.png	300.0	1500000	2	
11729	False	CoC Rage Barbarian	/static/img/monsters/40x40/721.74f2d60db57e.png	4710	4	Light Enhancement	870	721	1.0	10	Light Power	1.0	293	1.0	2	348	4	1	None	2520	None	3	None	70	[17, 1]	1008	CoC・レイジバーバリアン	/static/img/monsters/60x60/721.a879854b5198.png	525.0	3000000	2	
10290	False	CoC Archer	/static/img/monsters/40x40/722.56f0b6b61389.png	4370	3	None	365	722	1.0	5	Fire Power	1.0	293	1.0	54	81	113	1	None	954	None	0	None	25	[]	212	CoC・アーチャー	/static/img/monsters/60x60/722.0ffc4226ac8d.png	300.0	1500000	1	
10824	False	CoC Flame Archer	/static/img/monsters/40x40/723.056b3d0ebd83.png	4553	4	Flame Enhancement	823	723	1.0	10	Fire Power	1.0	293	1.0	102	329	214	1	None	1908	None	0	None	70	[14, 3]	763	CoC・フレイムアーチャー	/static/img/monsters/60x60/723.edb9773cab0d.png	525.0	3000000	1	
9872	False	CoC Goblin	/static/img/monsters/40x40/724.b71a608e6d3c.png	4121	3	None	563	724	1.0	5	Wood Power	1.0	293	1.0	51	125	107	1	None	531	None	2	None	25	[]	118	CoC・ゴブリン	/static/img/monsters/60x60/724.10575a327b5d.png	300.0	1500000	6	
10458	False	CoC Forest Goblin	/static/img/monsters/40x40/725.7195a9785ddc.png	4288	4	Earth Enhancement	1268	725	1.0	10	Wood Power	1.0	293	1.0	96	507	202	1	None	1063	None	2	None	70	[16, 2]	425	CoC・フォレストゴブリン	/static/img/monsters/60x60/725.c1832e3311c6.png	525.0	3000000	6	
10113	False	CoC Healer	/static/img/monsters/40x40/726.91ae276454d7.png	4322	3	None	306	726	1.0	5	Healing Song	1.0	293	1.0	134	68	281	1	None	504	None	3	None	25	[]	112	CoC・ヒーラー	/static/img/monsters/60x60/726.d958e8ef1307.png	300.0	1500000	3	
10691	False	CoC Glorious Healer	/static/img/monsters/40x40/727.5139e4deaf24.png	4433	4	Guard Stance - Light	688	727	1.0	10	Healing Song	1.0	293	1.0	253	275	531	1	None	1008	None	3	None	70	[8, 9]	403	CoC・グロリアスヒーラー	/static/img/monsters/60x60/727.d4c2e296c352.png	525.0	3000000	3	
9248	False	CoC Dragon	/static/img/monsters/40x40/728.b9b78545dd1b.png	3904	4	Crimson Bomb	590	728	1.0	15	Fire Scale	1.0	293	1.0	11	131	23	5	None	1584	None	0	None	50	[]	352	CoC・ドラゴン	/static/img/monsters/60x60/728.59445faa1851.png	713.0	1500000	4	
10594	False	CoC Crimson Dragon	/static/img/monsters/40x40/729.964235601ceb.png	4344	5	Crimson Bomb	1328	729	1.0	20	Fire Scale	1.0	293	1.0	21	531	44	5	None	3168	None	0	None	99	[22, 21]	1267	CoC・クリムゾンドラゴン	/static/img/monsters/60x60/729.aa13dbec44c9.png	938.0	3000000	4	
11210	False	CoC P.E.K.K.A	/static/img/monsters/40x40/730.49f21363f016.png	4510	5	Nightmare Sword	689	730	1.0	40	Dark Armor	1.0	293	1.0	0	153	0	1	None	1539	None	4	None	50	[]	342	CoC・P.E.K.K.A	/static/img/monsters/60x60/730.eeebc929dd69.png	1688.0	4000000	7	
11316	False	CoC Nightmare P.E.K.K.A	/static/img/monsters/40x40/731.7533f0af16ce.png	4514	6	Nightmare Sword	1550	731	1.0	50	Dark Armor	1.0	293	1.0	0	620	0	1	None	3078	4	4	None	99	[9, 21]	1231	CoC・ナイトメアP.E.K.K.A	/static/img/monsters/60x60/731.266fa0ab1a8b.png	2100.0	4000000	7	
12716	False	Scarlet Stone Dragon, Vermilionyt	/static/img/monsters/40x40/737.4358bb63cb97.png	4986	5	The Switch	1106	737	1.0	25	Sunlight Barrier	1.0	293	1.0	66	316	218	1	None	2120	3	0	None	99	[21, 21]	471	緋石龍・ヒヒイロカネ	/static/img/monsters/60x60/737.ba6ad09f2187.png	2100.0	2500000	4	
11247	False	Blue Stone Dragon, Mythril	/static/img/monsters/40x40/738.c20c8b215267.png	4725	5	The Switch	1096	738	1.0	25	Frost Forest Barrier	1.0	293	1.0	68	313	224	1	None	2133	2	1	None	99	[21, 21]	474	蒼石龍・ミスリル	/static/img/monsters/60x60/738.c7c3ff7e5d7c.png	2100.0	2500000	4	
12487	False	Green Stone Dragon, Adamant	/static/img/monsters/40x40/739.a58e410a85af.png	4833	5	The Switch	1099	739	1.0	25	Cursed Flower Barrier	1.0	293	1.0	67	314	221	1	None	2129	4	2	None	99	[21, 21]	473	翠石龍・アダマント	/static/img/monsters/60x60/739.8a2f4b8fb6fe.png	2100.0	2500000	4	
12818	False	Rainbow Stone Dragon, Orichalcum	/static/img/monsters/40x40/740.cdb2243a950b.png	5128	5	The Switch	1092	740	1.0	25	Holy Ocean Barrier	1.0	293	1.0	69	312	228	1	None	2124	1	3	None	99	[21, 21]	472	虹石龍・オリハルコン	/static/img/monsters/60x60/740.7e6c53307dcd.png	2100.0	2500000	4	
11533	False	Purple Stone Dragon, Damascus	/static/img/monsters/40x40/741.25b0e3d7dd93.png	4611	5	The Switch	1103	741	1.0	25	Evil Flame Barrier	1.0	293	1.0	65	315	215	1	None	2115	0	4	None	99	[21, 21]	470	紫石龍・ダマスカス	/static/img/monsters/60x60/741.385440f9ed46.png	2100.0	2500000	4	
9256	False	Draggie	/static/img/monsters/40x40/742.ea81b9dea3aa.png	3909	2	Dragon Enhancement	101	742	0.7	3	None	0.7	539	0.7	0	41	0	15	None	226	None	2	None	30	[]	55	ドラりん	/static/img/monsters/60x60/742.c2552d8e615d.png	188.0	1000000	4	
11569	False	Draggie Knight	/static/img/monsters/40x40/743.fc94bd675810.png	4576	3	Dragon Enhancement	321	743	0.7	7	None	0.7	293	0.7	0	91	0	10	None	526	None	2	None	50	[]	181	ドラりんナイト	/static/img/monsters/60x60/743.144a8462f678.png	375.0	1000000	4	
12470	False	Ancient Draggie Knight	/static/img/monsters/40x40/744.61e87a704ed4.png	4839	4	Dragon Enhancement	954	744	0.7	15	None	0.7	293	0.7	0	289	0	10	None	1137	None	2	None	70	[1, 2]	421	エンシェントドラりんナイト	/static/img/monsters/60x60/744.f38b9d0bce73.png	713.0	3000000	4	
12064	False	Incarnation of Suzaku, Leilan	/static/img/monsters/40x40/745.58e982fcc3d5.png	4679	5	Southern Seven-Star Formation	1020	745	1.0	20	Dance of the Crimson Heaven	1.0	293	1.0	106	510	223	5000	None	1618	None	0	None	50	[]	674	朱雀の化身・レイラン	/static/img/monsters/60x60/745.f63b933aab99.png	938.0	4000000	5	
8808	False	Heavenly Guide Suzaku, Leilan	/static/img/monsters/40x40/746.1a06cc106acb.png	4310	6	Southern Seven-Star Formation	1377	746	1.0	25	Dance of the Crimson Heaven	1.0	293	1.0	201	918	302	5000	None	3235	0	0	None	99	[14, 16, 17, 22]	1294	天導の朱雀・レイラン	/static/img/monsters/60x60/746.46bee883aa21.png	1163.0	4000000	5	
11709	False	Incarnation of Seiryuu, Karin	/static/img/monsters/40x40/747.ab04e03ab276.png	4672	5	Eastern Seven-Star Formation	1038	747	1.0	20	Dance of the Rising Dragon	1.0	293	1.0	100	519	210	5000	None	1622	None	1	None	50	[]	676	青龍の化身・カリン	/static/img/monsters/60x60/747.40378a34de7e.png	938.0	4000000	5	
8512	False	Guardian of Life Seiryuu, Karin	/static/img/monsters/40x40/748.61546150008f.png	4222	6	Eastern Seven-Star Formation	1401	748	1.0	25	Dance of the Rising Dragon	1.0	293	1.0	189	934	284	5000	None	3245	1	1	None	99	[15, 16, 18, 23]	1298	命護の青龍・カリン	/static/img/monsters/60x60/748.b153373be178.png	1163.0	4000000	5	
11815	False	Incarnation of Genbu, Meimei	/static/img/monsters/40x40/749.163b6220596b.png	4692	5	Northern Seven-Star Formation	1010	749	1.0	20	Dance of the Spirit Turtle	1.0	293	1.0	94	505	197	5000	None	1687	None	2	None	50	[]	703	玄武の化身・メイメイ	/static/img/monsters/60x60/749.b739938430a7.png	938.0	4000000	5	
8591	False	Tortoise Mountain Genbu, Meimei	/static/img/monsters/40x40/750.901427b53c71.png	4302	6	Northern Seven-Star Formation	1364	750	1.0	25	Dance of the Spirit Turtle	1.0	293	1.0	177	909	266	5000	None	3375	2	2	None	99	[16, 17, 18, 24]	1350	地鎮の玄武・メイメイ	/static/img/monsters/60x60/750.4a2acfae0e7d.png	1163.0	4000000	5	
11361	False	Incarnation of Kirin, Sakuya	/static/img/monsters/40x40/751.bfc83cbadc56.png	4487	5	Boisterous Dance	1014	751	1.0	20	Dance of the Four Origins	1.0	293	1.0	135	507	284	5000	None	1589	None	3	None	50	[]	662	麒麟の化身・サクヤ	/static/img/monsters/60x60/751.ff7d3614412a.png	938.0	4000000	5	
8883	False	Kirin of the Aurora, Sakuya	/static/img/monsters/40x40/752.2213a6cd5049.png	4324	6	Boisterous Dance	1370	752	1.0	25	Dance of the Four Origins	1.0	293	1.0	256	913	384	5000	None	3178	3	3	None	99	[17, 12, 11, 28]	1271	極光の麒麟・サクヤ	/static/img/monsters/60x60/752.44888194712e.png	1163.0	4000000	5	
12212	False	Incarnation of Byakko, Haku	/static/img/monsters/40x40/753.37d021b3c642.png	4898	5	Western Seven-Star Formation	1030	753	1.0	20	Dance of the Tiger's Roar	1.0	293	1.0	109	515	229	5000	None	1596	None	4	None	50	[]	665	白虎の化身・ハク	/static/img/monsters/60x60/753.e84dd3573974.png	938.0	4000000	5	
8569	False	Soul Guardian Byakko, Haku	/static/img/monsters/40x40/754.23a13ac4f8d5.png	4276	6	Western Seven-Star Formation	1391	754	1.0	25	Dance of the Tiger's Roar	1.0	293	1.0	206	927	309	5000	None	3193	4	4	None	99	[18, 14, 15, 26]	1277	霊護の白虎・ハク	/static/img/monsters/60x60/754.0467a96ef024.png	1163.0	4000000	5	
15660	False	Red Dragon God, Hino Kagutsuchi	/static/img/monsters/40x40/755.4a595b5f5d0b.png	7657	7	Burst Bomb	1510	755	1.5	35	Hellfire	1.5	293	1.5	195	743	451	5000	None	3120	3	0	4	99	[27, 27, 22, 21, 33, 28]	1230	紅蓮龍神・ヒノカグツチ	/static/img/monsters/60x60/755.f603747ca64a.png	1575.0	4000000	5	
15907	False	Fire Serpent God, Hino Kagutsuchi	/static/img/monsters/40x40/756.b9dd44ac891d.png	7596	7	Burst Bomb	2114	756	1.5	35	Hellfire	1.5	293	1.5	195	743	236	5000	None	2620	4	0	6	99	[27, 27, 22, 21, 32, 28]	1230	焔獄蛇神・ヒノカグツチ	/static/img/monsters/60x60/756.530f2980472e.png	1575.0	4000000	5	
12103	False	Scorched Claw Dragon, Flare Drall	/static/img/monsters/40x40/757.6b420af806cc.png	4813	6	Guard Stance - Fire	1190	757	1.0	30	Blazing Forest Barrier	1.0	535	1.0	162	336	454	1	None	2196	2	0	6	99	[6, 6, 10, 10, 20]	580	灼爪龍・フレアドラール	/static/img/monsters/60x60/757.aee7551773d1.png	1350.0	3000000	4	
12225	False	Drilling Shark Dragon, Megalodran	/static/img/monsters/40x40/758.b5f129c1bfcf.png	4885	6	Guard Stance - Water	963	758	1.0	30	Ice Flame Barrier	1.0	535	1.0	155	345	440	1	None	2695	0	1	2	99	[4, 4, 10, 10, 20]	593	穿鮫龍・メガロドラン	/static/img/monsters/60x60/758.0a1241b3e6e9.png	1350.0	3000000	4	
12777	False	Horned Fort Dragon, Fortoytops	/static/img/monsters/40x40/759.bd2b206969e9.png	5033	6	Guard Stance - Wood	980	759	1.0	30	Frost Forest Barrier	1.0	535	1.0	324	324	478	1	None	2501	1	2	1	99	[5, 5, 10, 10, 20]	649	角砦龍・フォートトイトプス	/static/img/monsters/60x60/759.76f290ab3607.png	1350.0	3000000	4	
12385	False	Sacred Dragon Beast, Angelion	/static/img/monsters/40x40/760.8611441e07fd.png	4943	6	Guard Stance - Light	933	760	1.0	30	Holy Forest Barrier	1.0	535	1.0	180	313	570	1	None	2226	2	3	3	99	[8, 8, 10, 10, 20]	588	聖獣龍・エンジェリオン	/static/img/monsters/60x60/760.1d367bb0ad4a.png	1350.0	3000000	4	
12626	False	Jester Dragon, Drawn Joker	/static/img/monsters/40x40/761.277c26984097.png	5027	6	Guard Stance - Dark	1033	761	1.0	30	Ice Demon Barrier	1.0	535	1.0	171	333	472	1	None	2341	1	4	7	99	[7, 7, 10, 10, 20]	565	道化龍・ドラウンジョーカー	/static/img/monsters/60x60/761.841c2fdbc72c.png	1350.0	3000000	4	
6537	False	OCTOPUS	/static/img/monsters/40x40/762.bb946a36cd37.png	3038	3	None	144	762	1.0	5	Red Effect	1.0	293	1.0	35	32	74	1	None	1575	None	0	None	25	[]	350	OCTOPUS	/static/img/monsters/60x60/762.637b9a0496a2.png	300.0	1500000	2	
8003	False	OCTOPUS Ver.2	/static/img/monsters/40x40/763.22b266f77c9e.png	3804	4	Double Attack Stance-Fr	325	763	1.0	10	Red Effect	1.0	293	1.0	67	130	141	1	None	3150	None	0	None	70	[27, 1]	1260	OCTOPUS Ver.2	/static/img/monsters/60x60/763.ae409df15c09.png	525.0	3000000	2	
6654	False	CRAB	/static/img/monsters/40x40/764.f5e5c57feead.png	3152	3	None	383	764	1.0	5	Blue Effect	1.0	293	1.0	52	85	109	1	None	927	None	1	None	25	[]	206	CRAB	/static/img/monsters/60x60/764.26b56001f4b0.png	300.0	1500000	1	
7629	False	CRAB Ver.2	/static/img/monsters/40x40/765.ce11bb11b9d4.png	3860	4	Water Enhancement	863	765	1.0	10	Blue Effect	1.0	293	1.0	98	345	206	1	None	1855	None	1	None	70	[27, 3]	742	CRAB Ver.2	/static/img/monsters/60x60/765.7fd6762ed3c2.png	525.0	3000000	1	
7454	False	SQUID	/static/img/monsters/40x40/766.ffe5d3dad64d.png	3327	3	None	621	766	1.0	5	Green Effect	1.0	293	1.0	31	138	65	1	None	531	None	2	None	25	[]	118	SQUID	/static/img/monsters/60x60/766.1d45319f63cc.png	300.0	1500000	6	
7642	False	SQUID Ver.2	/static/img/monsters/40x40/767.1ce9d681a8a1.png	3900	4	Double Attack Stance-Wd	1398	767	1.0	10	Green Effect	1.0	293	1.0	59	559	124	1	None	1063	None	2	None	70	[27, 2]	425	SQUID Ver.2	/static/img/monsters/60x60/767.bb9f40d9c85d.png	525.0	3000000	6	
9109	False	GC CRAB	/static/img/monsters/40x40/768.4ee014faac0d.png	3732	5	GROOVE COASTER	536	768	1.0	40	Fired UP	1.0	293	1.0	92	119	193	1	None	1152	None	3	None	50	[]	256	GC CRAB	/static/img/monsters/60x60/768.5e9a25100dff.png	1688.0	4000000	1	
10767	False	GC CRAB Ver.2	/static/img/monsters/40x40/769.e6886f5f5a3c.png	4269	6	GROOVE COASTER	1205	769	1.0	50	Fired UP	1.0	293	1.0	174	482	365	1	None	2305	None	3	None	99	[25, 19]	922	GC CRAB Ver.2	/static/img/monsters/60x60/769.7732cfe93a11.png	2100.0	4000000	1	
6109	False	UFO	/static/img/monsters/40x40/770.ae0b79d82696.png	2814	4	Secret Bonus	338	770	1.0	15	NAGOYA Shot	1.0	293	1.0	99	75	208	5	None	1647	None	4	None	50	[]	366	UFO	/static/img/monsters/60x60/770.25464a4628a6.png	713.0	1500000	2	
10014	False	UFO Ver.2	/static/img/monsters/40x40/771.a5001f5e8099.png	4256	5	Secret Bonus	760	771	1.0	20	NAGOYA Shot	1.0	293	1.0	187	304	393	5	None	3295	None	4	None	99	[18, 12]	1318	UFO Ver.2	/static/img/monsters/60x60/771.ddf8d591ffa6.png	938.0	3000000	2	
12911	False	Omega Red Skydragon, El Dorado	/static/img/monsters/40x40/772.aec13c6d5cd1.png	4703	7	Flame Breath	1916	772	1.5	35	Power of Explosion	1.5	293	1.5	122	443	244	5	None	1612	1	0	6	99	[14, 21]	316	緋天蒼龍・エルドラド	/static/img/monsters/60x60/772.1413a08f0785.png	2513.0	4000000	4	
13672	False	Omega Blue Skydragon, Nirai Kanai	/static/img/monsters/40x40/773.b8a3becf1940.png	4918	7	Splash Breath	1957	773	1.5	35	Power of Water Rapids	1.5	293	1.5	113	453	226	5	None	1581	4	1	6	99	[15, 21]	310	蒼天夜龍・ニライカナイ	/static/img/monsters/60x60/773.9761ca5e4bbd.png	2513.0	4000000	4	
13747	False	Omega Wood Skydragon, Horai	/static/img/monsters/40x40/774.aa687b099b4d.png	4883	7	Rock Breath	1904	774	1.5	35	Power of Gaia	1.5	293	1.5	125	440	250	5	None	1637	0	2	6	99	[16, 21]	321	樹天緋龍・ホウライ	/static/img/monsters/60x60/774.77c0303f7dde.png	2513.0	4000000	4	
13443	False	Omega Holy Skydragon, Shangri-La	/static/img/monsters/40x40/775.0404614bafe0.png	4867	7	Plasma Breath	1855	775	1.5	35	Power of Flash	1.5	293	1.5	114	428	228	5	None	1576	2	3	6	99	[17, 21]	309	聖天樹龍・シャングリラ	/static/img/monsters/60x60/775.63111d21dcec.png	2513.0	4000000	4	
12637	False	Omega Night Skydragon, Elysion	/static/img/monsters/40x40/776.6b60c6783cbf.png	4793	7	Curse Breath	1871	776	1.5	35	Power of Darkness	1.5	293	1.5	111	432	222	5	None	1591	3	4	6	99	[18, 21]	312	夜天聖龍・エリュシオン	/static/img/monsters/60x60/776.80e5ef37b46f.png	2513.0	4000000	4	
11228	False	Great Tengu	/static/img/monsters/40x40/777.1d2431883ca4.png	4302	5	Dance of the Great Tengu	628	777	1.0	20	Perseverance	1.0	293	1.0	0	251	0	10	None	1220	None	2	None	50	[]	488	大天狗	/static/img/monsters/60x60/777.5f8dcc2184a2.png	938.0	4000000	2	
11246	False	Twisted Mountain God, Grand Tengu	/static/img/monsters/40x40/778.cb7f318d05ca.png	4346	6	Dance of the Great Tengu	1017	778	1.0	25	Perseverance	1.0	293	1.0	0	565	0	10	None	3026	None	2	None	99	[21, 21, 21]	976	霊峰の破戒神・大天狗	/static/img/monsters/60x60/778.1cd8b98606b8.png	1163.0	4000000	2	
11840	False	Kodama	/static/img/monsters/40x40/779.982e3e84f2c4.png	4778	2	Ninja Art Wt to Wd	229	779	1.0	5	None	1.0	293	1.0	58	33	257	1	None	443	None	2	None	30	[]	70	こだま	/static/img/monsters/60x60/779.bcfb2e269bf8.png	263.0	1500000	3	
11255	False	Incarnation of Kouryu, Fagan	/static/img/monsters/40x40/780.7a92a020ee01.png	4276	6	Boisterous Dance	1312	780	1.0	40	Celestial Pole Star Dragon Fist	1.0	293	1.0	55	656	116	10	None	1853	None	3	4	50	[]	772	黄龍の化身・ファガン	/static/img/monsters/60x60/780.87f96ae19854.png	2100.0	5000000	5	
13107	False	Kouryu the Star Emperor, Fagan	/static/img/monsters/40x40/781.40d017009e66.png	4922	7	Boisterous Dance	1772	781	1.0	50	Celestial Pole Star Dragon Fist	1.0	293	1.0	104	1181	156	10	None	3705	None	3	4	99	[4, 5, 6]	1482	星帝の黄龍・ファガン	/static/img/monsters/60x60/781.1f454e5eeef3.png	4013.0	5000000	5	
11670	False	Mystic Megalith Dragon, Baalbek	/static/img/monsters/40x40/782.6ed59b137b08.png	4307	6	Wisdom of the Ancients	1320	782	1.0	25	Mystery of the Flaming Boulder	1.0	293	1.0	61	377	201	5	None	2813	None	0	None	99	[14, 21]	375	神秘の巨石龍・バールベック	/static/img/monsters/60x60/782.be5ebfc626fb.png	1538.0	4000000	4	
12886	False	Mystic Mechdragon, Antikythera	/static/img/monsters/40x40/783.54397c54046a.png	4792	6	Wisdom of the Ancients	956	783	1.0	25	Mysterious Dowsing Mechanism	1.0	535	1.0	63	377	208	10	None	2799	None	1	None	99	[15, 21]	372	神秘の天体龍・アンティキティラ	/static/img/monsters/60x60/783.53c0086b2d30.png	1538.0	4000000	4	
12916	False	Mystic Painting Dragon, Nazca	/static/img/monsters/40x40/784.16ae869382d9.png	4705	6	Wisdom of the Ancients	1327	784	1.0	25	Mystery of Mother Earth	1.0	293	1.0	62	379	205	5	None	2795	None	2	None	99	[16, 21]	371	神秘の絵画龍・ナスカ	/static/img/monsters/60x60/784.f788e5e74202.png	1538.0	4000000	4	
