ASListID	AwokenSkillOne	AwokenSkillTwo	AwokenSkillThree	AwokenSkillFour	AwokenSkillFive	AwokenSkillSix	AwokenSkillSeven	AwokenSkillEight	AwokenSkillNine
1160	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1352	'Enhanced Wood Attribute'	'Resistance-Jammers'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1714	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1660	'Enhanced Fire Orbs'	'Skill Boost'	'Enhanced Wood Orbs'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	
1962	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1616	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2051	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3589	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Skill Boost'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Extend Time'	NULL	NULL	NULL	
1333	'Enhanced Water Orbs'	'Skill Boost'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
3559	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2391	'Resistance-Bind'	'Auto-Recover'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	
2901	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Resistance-Bind'	'Resistance-Bind'	NULL	
2665	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1420	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1339	'Two-Pronged Attack'	'Resistance-Dark'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
2411	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Recover Bind'	'Extend Time'	'Extend Time'	NULL	NULL	
1896	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1098	'Enhanced Wood Orbs'	'Reduce Wood Damage'	'Enhanced Wood Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
3486	'Enhanced Dark Attribute'	'Enhanced Heart Orbs'	'Enhanced Dark Attribute'	'Skill Boost'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Enhanced Combo'	
2442	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2306	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2537	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Multi Boost'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	
2594	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Extend Time'	'Extend Time'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'God Killer'	'Dragon Killer'	
519	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3640	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Multi Boost'	NULL	NULL	NULL	
1661	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
436	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
4	'Enhanced HP'	'Enhanced Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1998	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1211	'Resistance-Dark'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
3201	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1344	'Enhanced Fire Attribute'	'Enhanced Heart Orbs'	'Enhanced Fire Attribute'	'Skill Boost'	'Devil Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
119	'Enhanced Light Attribute'	'Skill Boost'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
2796	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
974	'Enhanced Fire Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
731	'Auto-Recover'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
348	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3010	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3056	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Skill Boost'	'God Killer'	
1506	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2082	'Two-Pronged Attack'	'Two-Pronged Attack'	'Resistance-Jammers'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	NULL	NULL	
1850	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
19	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3510	'Enhanced Water Attribute'	'Recover Bind'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Combo'	NULL	
1967	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1689	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2887	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
71	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2147	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1125	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	NULL	
502	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1094	'Reduce Dark Damage'	'Reduce Wood Damage'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
2805	'Enhanced Fire Attribute'	'Resistance-Poison'	'Resistance-Poison'	'Extend Time'	'Enhanced Fire Attribute'	'Enhanced Dark Attribute'	'Skill Boost'	NULL	NULL	
3203	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3372	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Attacker Killer'	'God Killer'	'Recover Bind'	'Resistance-Bind'	'Resistance-Bind'	NULL	
2444	'Skill Boost'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Extend Time'	'Extend Time'	'Two-Pronged Attack'	'Resistance-Skill Bind'	
3491	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Fire Orbs'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Enhanced Combo'	
1692	'Enhanced Water Orbs'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
372	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3197	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3109	'Enhanced Dark Attribute'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	NULL	NULL	
1951	'Two-Pronged Attack'	'Skill Boost'	'Extend Time'	'Enhanced Light Attribute'	'Skill Boost'	'Resistance-Skill Bind'	NULL	NULL	NULL	
2701	'Skill Boost'	'Resistance-Poison'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
484	'Enhanced HP'	'Enhanced Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
2439	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1219	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2592	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Resistance-Skill Bind'	'Skill Boost'	
2120	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
579	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2531	'Two-Pronged Attack'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1143	'Two-Pronged Attack'	'Reduce Wood Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3054	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Fire Orbs'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Skill Boost'	'God Killer'	
115	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
783	'Enhanced Water Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2382	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2495	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Heart Orbs'	NULL	NULL	
633	'Skill Boost'	'Enhanced Water Attribute'	'Skill Boost'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	
2612	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Physical Killer'	NULL	NULL	NULL	NULL	NULL	
3227	'Resistance-Poison'	'Resistance-Poison'	'Resistance-Poison'	'Two-Pronged Attack'	'Devil Killer'	'Dragon Killer'	NULL	NULL	NULL	
2311	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2906	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Extend Time'	'Dragon Killer'	'Devil Killer'	NULL	NULL	NULL	
3484	'Enhanced Wood Attribute'	'Enhanced Heart Orbs'	'Enhanced Wood Attribute'	'Skill Boost'	'Two-Pronged Attack'	'Enhanced Wood Attribute'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Enhanced Wood Attribute'	
895	'Enhanced Heal'	'Enhanced Dark Orbs'	'Enhanced Attack'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
728	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
66	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
901	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2628	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1087	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2666	'Recover Bind'	'Resistance-Bind'	'Resistance-Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Enhanced Fire Orbs'	'Enhanced Light Orbs'	NULL	NULL	
2025	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
3093	'Enhanced Wood Orbs'	'Enhanced Wood Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1790	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
404	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1955	'Skill Boost'	'Auto-Recover'	'Recover Bind'	'Extend Time'	'Enhanced Water Orbs'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Enhanced Water Attribute'	NULL	
2233	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
678	'Enhanced Dark Orbs'	'Resistance-Dark'	'Enhanced Dark Attribute'	'Resistance-Dark'	'Resistance-Dark'	'Resistance-Dark'	'Resistance-Dark'	'Skill Boost'	NULL	
1877	'Enhanced Wood Orbs'	'Skill Boost'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	NULL	
2731	'Two-Pronged Attack'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
275	'Enhanced Heal'	'Reduce Water Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
924	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1305	'Enhanced Dark Attribute'	'Enhanced Heart Orbs'	'Enhanced Light Attribute'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	NULL	NULL	
3199	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2810	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	'Resistance-Bind'	'Resistance-Bind'	
397	'Enhanced Dark Orbs'	'Resistance-Dark'	'Skill Boost'	'Enhanced Dark Attribute'	'God Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
417	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3642	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Enhanced Combo'	'Multi Boost'	NULL	NULL	
566	'Resistance-Dark'	'Resistance-Dark'	'Enhanced Fire Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
573	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1644	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Guard Break'	
885	'Reduce Dark Damage'	'Auto-Recover'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2040	'Enhanced Dark Attribute'	'Skill Boost'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
170	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2325	'Enhanced Dark Orbs'	'Extend Time'	'Extend Time'	'Resistance-Skill Bind'	'Enhanced Dark Orbs'	'Skill Boost'	'Extend Time'	'Enhanced Dark Orbs'	NULL	
645	'Enhanced Dark Orbs'	'Resistance-Dark'	'Enhanced Water Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	
2433	'Skill Boost'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2042	'Enhanced Water Orbs'	'Extend Time'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Orbs'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Enhanced Water Attribute'	'Skill Boost'	
3072	'Two-Pronged Attack'	'Resistance-Dark'	'Extend Time'	'Skill Boost'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'Resistance-Dark'	
2908	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	'Enhanced Wood Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	
746	'Enhanced Fire Orbs'	'Enhanced Wood Orbs'	'Enhanced Light Orbs'	'Enhanced Fire Attribute'	NULL	NULL	NULL	NULL	NULL	
1201	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Extend Time'	'Multi Boost'	NULL	
2297	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
695	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1361	'Auto-Recover'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1203	'Enhanced Fire Attribute'	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Bind'	NULL	NULL	NULL	NULL	NULL	
1949	'Two-Pronged Attack'	'Recover Bind'	'Skill Boost'	'Extend Time'	'Resistance-Skill Bind'	'Enhanced Dark Attribute'	NULL	NULL	NULL	
1115	'Skill Boost'	'Auto-Recover'	'Enhanced Water Attribute'	'Extend Time'	'Devil Killer'	'Resistance-Skill Bind'	NULL	NULL	NULL	
1322	'Enhanced Light Attribute'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2603	'Skill Boost'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Recover Bind'	'Resistance-Bind'	'Resistance-Bind'	'Devil Killer'	
2565	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Skill Boost'	NULL	NULL	NULL	
617	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
730	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
47	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1707	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Extend Time'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	'Skill Boost'	'God Killer'	'Physical Killer'	NULL	
439	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
884	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3538	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
558	'Two-Pronged Attack'	'Enhanced Water Attribute'	'Skill Boost'	'Resistance-Jammers'	NULL	NULL	NULL	NULL	NULL	
1082	'Reduce Light Damage'	'Reduce Light Damage'	'Auto-Recover'	'Skill Boost'	'Enhanced Light Orbs'	'Enhanced Light Attribute'	'Enhanced Light Orbs'	'Enhanced Light Attribute'	'Skill Boost'	
577	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
701	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1632	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1209	'Enhanced HP'	'Enhanced Wood Orbs'	'Enhanced Attack'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
2098	'Enhanced Wood Attribute'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Skill Boost'	'Multi Boost'	NULL	NULL	NULL	
1788	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
3294	'Skill Boost'	'Skill Boost'	'Extend Time'	'Extend Time'	'Recover Bind'	'Recover Bind'	'Resistance-Bind'	'Resistance-Bind'	NULL	
770	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
933	'Two-Pronged Attack'	'Enhanced Light Orbs'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3064	'Enhanced Water Attribute'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2720	'Extend Time'	'Enhanced Dark Orbs'	'Enhanced Dark Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
476	'Enhanced Water Orbs'	'Enhanced Water Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1224	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1952	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
134	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2418	'Enhanced Heart Orbs'	'Enhanced Heart Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Resistance-Skill Bind'	'Resistance-Skill Bind'	NULL	NULL	NULL	
1370	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2072	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
671	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3091	'Enhanced Fire Orbs'	'Enhanced Fire Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	
1697	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2621	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3349	'Extend Time'	'Resistance-Skill Bind'	'Reduce Light Damage'	'Reduce Light Damage'	NULL	NULL	NULL	NULL	NULL	
236	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1597	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
79	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3312	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2610	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
508	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2788	'Enhanced Dark Orbs'	'Enhanced Dark Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3163	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Skill Boost'	'Extend Time'	'Extend Time'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	'Enhanced Water Orbs'	
3353	'Enhanced Dark Attribute'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Resistance-Bind'	'Resistance-Bind'	'Devil Killer'	NULL	
513	'Enhanced HP'	'Enhanced Water Orbs'	'Enhanced Attack'	NULL	NULL	NULL	NULL	NULL	NULL	
1982	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3557	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3415	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3207	'Reduce Water Damage'	'Reduce Water Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1316	'Enhanced Dark Orbs'	'Resistance-Dark'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1826	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
217	'Enhanced Water Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
150	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2080	'Enhanced Water Orbs'	'Skill Boost'	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
3328	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2095	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1108	'Skill Boost'	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Skill Boost'	'Skill Boost'	'Enhanced Fire Attribute'	NULL	NULL	NULL	
2030	'Enhanced Light Attribute'	'Two-Pronged Attack'	'Resistance-Skill Bind'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
958	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2384	'Enhanced Fire Orbs'	'Skill Boost'	'Enhanced Wood Orbs'	'Enhanced Fire Orbs'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Heart Orbs'	NULL	
2735	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Extend Time'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	'Enhanced Light Orbs'	NULL	NULL	
1544	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1512	'Enhanced Heart Orbs'	'Auto-Recover'	'Recover Bind'	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Auto-Recover'	'Resistance-Bind'	'Resistance-Bind'	NULL	
152	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
287	'Enhanced Dark Orbs'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2593	'Resistance-Bind'	'Resistance-Bind'	'Skill Boost'	'Extend Time'	NULL	NULL	NULL	NULL	NULL	
1738	'Enhanced Fire Attribute'	'Enhanced Fire Orbs'	'Resistance-Skill Bind'	'Skill Boost'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	NULL	NULL	
1712	'Awaken Material Killer'	'Vendor Material Killer'	'Two-Pronged Attack'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	
2562	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1312	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
3157	'Two-Pronged Attack'	'Extend Time'	'Skill Boost'	'Skill Boost'	'Resistance-Skill Bind'	'Resistance-Dark'	'Multi Boost'	NULL	NULL	
2972	'Resistance-Skill Bind'	'Extend Time'	'Skill Boost'	'Extend Time'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Two-Pronged Attack'	'Enhanced Wood Orbs'	'Enhanced Wood Orbs'	
752	'Enhanced Light Orbs'	'Resistance-Jammers'	'Resistance-Dark'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
477	'Enhanced Wood Orbs'	'Enhanced Wood Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2330	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
2282	'Enhanced Dark Orbs'	'Extend Time'	'Skill Boost'	'Resistance-Skill Bind'	'Skill Boost'	'Two-Pronged Attack'	'Two-Pronged Attack'	NULL	NULL	
1984	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1072	'Enhanced Light Attribute'	'Recover Bind'	'Skill Boost'	'Resistance-Skill Bind'	NULL	NULL	NULL	NULL	NULL	
2317	'Enhanced Fire Attribute'	'Enhanced Fire Attribute'	'Enhanced Dark Attribute'	'Enhanced Dark Attribute'	'Skill Boost'	'Extend Time'	'Enhanced Fire Attribute'	NULL	NULL	
1122	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
43	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1853	'Reduce Wood Damage'	'Reduce Wood Damage'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
1351	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
829	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
824	'Two-Pronged Attack'	'Enhanced Wood Orbs'	'Enhanced HP'	NULL	NULL	NULL	NULL	NULL	NULL	
2904	'Enhanced Light Attribute'	'Enhanced Water Attribute'	'Extend Time'	'Skill Boost'	'Enhanced Light Attribute'	'Enhanced Water Attribute'	'Resistance-Skill Bind'	'Enhanced Light Attribute'	NULL	
381	'Enhanced Water Attribute'	'Enhanced Heart Orbs'	'Enhanced Fire Attribute'	'Two-Pronged Attack'	NULL	NULL	NULL	NULL	NULL	
3365	'Extend Time'	'Skill Boost'	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
390	'Resistance-Bind'	'Resistance-Poison'	'Resistance-Poison'	'Resistance-Bind'	'Devil Killer'	'Dragon Killer'	NULL	NULL	NULL	
2768	'Two-Pronged Attack'	'Skill Boost'	'Resistance-Skill Bind'	'Extend Time'	'Extend Time'	'Two-Pronged Attack'	'Reduce Dark Damage'	'Reduce Dark Damage'	'Reduce Dark Damage'	
1865	'Two-Pronged Attack'	'Extend Time'	'Enhanced Light Attribute'	NULL	NULL	NULL	NULL	NULL	NULL	
