MonsterID	MonsterName	MonsterNameJP	Rarity	AttributeOne	AttributeTwo	MonsterTypeOne	MonsterTypeTwo	MaxLevel	MaxHP	MaxATK	MaxRCV	NumOfAwokenSkills	UNKNOWN	LeaderSkillDesc	MonsterCost	ActiveSkillMaxCoolDown	ActiveSkillMaxLevel	ExperienceScale	MonsterTypeThree	UNKNOWNTWO
490	Horus	ホルス	5	1	0	6	0	50	1502	832	422	0	61	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark.	20	15	13	400	0	1	
491	Flame Deity, Falcon Horus	炎隼神・ホルス	6	1	1	6	0	99	3005	1124	570	4	61	All attribute cards ATK x4 when attacking with 4 of following orb types: Fire, Water, Wood, Light & Dark.	25	15	13	400	0	0	
492	Isis	イシス	5	2	0	6	0	50	1519	812	447	0	61	All attribute cards ATK x3 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark.	20	8	6	400	0	1	
493	Water Deity, Holy Isis	聖海神・イシス	6	2	2	6	0	99	3038	1097	603	4	61	All attribute cards ATK x3 when attacking with 3 of following orb types: Fire, Water, Wood, Light & Dark.	25	8	6	400	0	0	
494	Bastet	バステト	5	3	0	6	0	50	1505	820	433	0	66	All attribute cards ATK x2.5 when reaching 4 combos or above.	20	13	8	400	0	1	
495	Love Deity, Feline Bastet	愛猫神・バステト	6	3	3	6	0	99	3010	1107	585	4	66	All attribute cards ATK x2.5 when reaching 4 combos or above.	25	13	8	400	0	0	
496	Ra	ラー	5	4	0	6	0	50	1478	800	441	0	61	All attribute cards ATK x6 when attacking with Fire, Water, Wood, Light & Dark orb types at the same time.	20	14	8	400	0	1	
497	Sun Deity Ra	太陽神・ラー	6	4	4	6	0	99	3155	1080	596	4	61	All attribute cards ATK x6 when attacking with Fire, Water, Wood, Light & Dark orb types at the same time.	25	14	8	400	0	0	
498	Anubis	アヌビス	5	5	0	6	0	50	1474	814	435	0	66	All attribute cards ATK x10 when reaching 10 combos or above.	20	18	11	400	0	1	
499	Hell Deity, Jackal Anubis	冥狼神・アヌビス	6	5	5	6	0	99	2948	1100	588	4	66	All attribute cards ATK x10 when reaching 10 combos or above.	25	18	11	400	0	0	
500	Princess Punt	ケリ姫	4	4	0	2	0	50	906	454	311	0	64	Balanced type cards ATK x1.5, RCV x1.5.	15	20	6	300	0	0	
501	Anne Punt Quettebuss	アン・パント・ケットバス	5	4	0	2	0	99	2201	1023	420	2	65	Balanced type cards HP x1.5, ATK x1.5, RCV x1.5.	20	20	6	300	0	0	
502	Dinocorn	ガウガウ	4	1	0	2	0	35	1104	509	155	0	0	..	15	26	23	300	0	0	
503	Dinocorn King	草原の主・ガウガウキング	5	1	0	2	0	99	2684	1145	210	2	12	Deal ATK x2 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	20	23	13	300	0	0	
504	Baby Seal	アザラシくん	3	2	0	2	0	25	586	355	263	0	0	..	5	26	23	150	0	0	
505	Mr. Walrus	セイウチさん	4	2	0	2	0	70	1423	800	356	2	16	20% all damage reduction.	10	23	13	150	0	0	
506	Jelly's Angel	ゼリーエンジェル	3	3	0	2	0	25	602	429	210	0	0	..	5	29	23	150	0	0	
507	The Jelly's Angels	ザ・ゼリーエンジェルズ	4	3	0	2	0	70	1463	965	284	2	61	All attribute cards ATK x2.5 when attacking with Fire, Water & Wood orb types at the same time.	10	23	13	150	0	0	
508	Balloon Penguin	バルーンペンペン	3	4	0	2	0	25	784	365	158	0	0	..	5	29	22	150	0	0	
509	Kite Penguin	カイトペンペン	4	4	0	2	0	70	1906	823	213	2	41	50% chance to deal counter Light damage of 5x damage taken.	10	23	12	150	0	0	
510	Goggler	ギョロリ	3	5	0	2	0	25	634	397	208	0	0	..	5	26	23	150	0	0	
511	Devil Eye	デイビルアイ	4	5	0	2	0	70	1542	893	281	2	17	50% Dark damage reduction.	10	23	12	150	0	0	
512	Red Giant Gigas	剛腕の巨人・ギガンテス	5	1	0	3	0	99	6283	1363	-500	3	14	While your HP is 70% or above, a single hit that normally kills you will instead leave you with 1 HP. For the consecutive hits, this skill will only affect the first hit.	30	11	7	400	0	0	
513	King Siegfried, Blue Champion	蒼覇王・カイゼルジークフリート	6	2	0	3	0	99	3919	1309	129	3	22	Physical type cards ATK x2.5.	30	11	7	400	0	0	
514	More Cu Chulainn, the Hero	大英雄・モアクーフーリン	6	3	0	2	0	99	2887	1336	348	3	23	Balanced type cards HP x2.5.	30	11	7	400	0	0	
515	Princess Valkyrie	戦乙女・プリンセスヴァルキリー	6	4	0	4	0	99	2308	1289	556	3	22	Healer type cards ATK x2.5.	30	11	7	400	0	0	
516	Duke Vampire Lord	魔王・ヴァンパイアロード	5	5	0	2	9	99	2796	1218	463	3	11	Dark attribute cards ATK x2.	30	11	7	400	0	0	
517	Present Egg	プレゼントＢＯＸ	4	4	0	8	0	15	777	500	100	0	0	..	5	0	0	150	0	0	
518	Present Egg	プレゼントＢＯＸ	4	4	0	8	0	15	777	500	100	0	0	..	5	0	0	150	0	0	
519	Present Egg	プレゼントＢＯＸ	4	4	0	8	0	15	777	500	100	0	0	..	5	0	0	150	0	0	
520	Snow Globe Dragon Rouge	ノエルドラゴン・ルージュ	5	1	0	8	0	50	1225	918	220	0	67	Fire attribute cards HP x2, RCV x2.	13	13	1	150	0	0	
521	Snow Globe Dragon Bleu	ノエルドラゴン・ブルー	5	2	0	8	0	50	1225	918	220	0	67	Water attribute cards HP x2, RCV x2.	13	13	1	150	0	0	
522	Snow Globe Dragon Vert	ノエルドラゴン・ヴェール	5	3	0	8	0	50	1225	918	220	0	67	Wood attribute cards HP x2, RCV x2.	13	13	1	150	0	0	
523	Red Moltdra	アカムギドラ	2	1	0	8	0	10	156	176	200	0	0	..	3	0	0	150	0	0	
524	Blue Moltdra	アオムギドラ	2	2	0	8	0	10	159	174	206	0	0	..	3	0	0	150	0	0	
525	Green Moltdra	ミドムギドラ	2	3	0	8	0	10	165	170	206	0	0	..	3	0	0	150	0	0	
540	Fire Samurai Dragon, Shingen	風林火山龍・シンゲン	6	1	0	1	3	99	4513	1449	205	2	69	Fire attribute & Physical type cards ATK x2.	25	19	13	400	0	0	
541	Water Samurai Dragon, Kenshin	毘沙門龍・ケンシン	6	2	0	1	5	99	4478	1464	215	2	69	Water attribute & Attacker type cards ATK x2.	25	19	13	400	0	0	
542	Wood Samurai Dragon, Masamune	独眼竜・マサムネ	6	3	0	1	5	99	4470	1443	224	2	69	Wood attribute & Attacker type cards ATK x2.	25	19	13	400	0	0	
543	Light Samurai Dragon, Hideyoshi	太閤龍・ヒデヨシ	6	4	0	1	3	99	4433	1439	231	2	69	Light attribute & Physical type cards ATK x2.	25	19	13	400	0	0	
544	Dark Samurai Dragon, Nobunaga	第六天魔龍・ノブナガ	6	5	0	1	5	99	4540	1504	185	2	69	Dark attribute & Attacker type cards ATK x2.	25	19	13	400	0	0	
545	Low Fire Ninja	火の下忍	2	1	0	5	0	15	62	630	137	0	0	..	3	25	11	100	0	0	
546	Mid Fire Ninja	火の中忍	3	1	0	5	0	50	115	1191	185	0	15	Increases time limit of orb movement by 1.5 seconds.	7	25	11	100	0	0	
547	Low Water Ninja	水の下忍	2	2	0	5	0	15	70	625	139	0	0	..	3	25	11	100	0	0	
548	Mid Water Ninja	水の中忍	3	2	0	5	0	50	129	1182	188	0	15	Increases time limit of orb movement by 1.5 seconds.	7	25	11	100	0	0	
549	Low Wood Ninja	木の下忍	2	3	0	5	0	15	65	628	141	0	0	..	3	25	11	100	0	0	
550	Mid Wood Ninja	木の中忍	3	3	0	5	0	50	120	1187	191	0	15	Increases time limit of orb movement by 1.5 seconds.	7	25	11	100	0	0	
551	Low Light Ninja	光の下忍	2	4	0	5	0	15	57	628	143	0	0	..	3	25	11	100	0	0	
552	Mid Light Ninja	光の中忍	3	4	0	5	0	50	106	1187	194	0	15	Increases time limit of orb movement by 1.5 seconds.	7	25	11	100	0	0	
553	Low Dark Ninja	闇の下忍	2	5	0	5	0	15	62	633	130	0	0	..	3	25	11	100	0	0	
554	Mid Dark Ninja	闇の中忍	3	5	0	5	0	50	115	1197	176	0	15	Increases time limit of orb movement by 1.5 seconds.	7	25	11	100	0	0	
555	Mochizuki Chiyome	望月千代女	5	1	0	2	0	50	1319	595	207	0	22	Balanced type cards ATK x1.5.	10	9	5	150	0	1	
556	Flame Shrine Maiden, Chiyome	紅焔の巫女・望月千代女	6	1	0	2	0	99	2638	1340	353	4	62	Balanced type cards HP x2, ATK x2.	15	9	5	400	0	1	
557	Hatsume no Tsubone	初芽局	5	2	0	4	0	50	1109	491	397	0	64	Healer type cards ATK x1.5, RCV x1.5.	10	9	5	150	0	1	
558	Blue Wind Ninja, Hatsume	蒼扇の夜叉・初芽局	6	2	0	4	0	99	2129	1105	678	4	65	Healer type cards HP x1.5, ATK x1.5, RCV x1.5.	15	9	5	400	0	1	
559	Sarutobi Sasuke	猿飛佐助	5	3	0	5	0	50	999	640	116	0	22	Attacker type cards ATK x1.5.	10	9	5	150	0	1	
560	Wind Prodigy, Sasuke	旋風の神童・猿飛佐助	6	3	0	5	0	99	2397	1786	156	4	62	Attacker type cards HP x2, ATK x2.	15	9	5	400	0	1	
561	Fuma Kotaro	風魔小太郎	5	4	0	3	0	50	1557	470	29	0	64	Physical type cards ATK x1.5, RCV x1.5.	10	9	5	150	0	1	
562	Lightning Storm, Fuma Kotaro	雷角の頭領・風魔小太郎	6	4	0	3	0	99	3738	1311	39	4	65	Physical type cards HP x1.5, ATK x1.5, RCV x1.5.	15	9	5	400	0	1	
563	Hattori Hanzo	服部半蔵	5	5	0	5	0	50	579	627	355	0	64	Attacker type cards ATK x1.5, RCV x1.5.	10	9	5	150	0	1	
564	High Dark Ninja, Hanzo	朧夜の闇忍・服部半蔵	6	5	0	5	0	99	1389	1748	480	4	65	Attacker type cards HP x1.5, ATK x1.5, RCV x1.5.	15	9	5	400	0	1	
565	Ishikawa Goemon	石川五右衛門	6	1	0	3	0	50	2573	932	127	0	39	All attribute cards ATK x5 when HP is less than 20%.	25	30	15	400	0	0	
566	Goemon, the Thief	天下の大泥棒・石川五右衛門	7	1	0	3	0	99	4528	1259	217	3	39	All attribute cards ATK x5 when HP is less than 20%.	45	30	15	400	0	0	
567	Ares	アレス	5	1	0	6	0	50	876	1440	0	0	11	Fire attribute cards ATK x2. Increases time limit of orb movement by 2 seconds.	20	16	9	400	0	1	
568	War Deity Ares	戦軍神・アレス	6	1	1	6	0	99	1812	2044	0	4	45	Fire attribute cards HP x2, ATK x2.	25	16	9	400	0	0	
569	Hermes	ヘルメス	5	2	0	6	0	50	924	1036	101	0	11	Water attribute cards ATK x2.	20	16	9	400	0	1	
570	Commerce Deity Hermes	商業神・ヘルメス	6	2	2	6	0	99	1974	1498	164	4	45	Water attribute cards HP x2, ATK x2.	25	16	9	400	0	0	
571	Artemis	アルテミス	5	3	0	6	0	50	906	1048	106	0	11	Wood attribute cards ATK x2.	20	16	9	400	0	1	
572	Hunting Deity Artemis	狩猟神・アルテミス	6	3	3	6	0	99	1940	1515	171	4	45	Wood attribute cards HP x2, ATK x2.	25	16	9	400	0	0	
573	Apollo	アポロン	5	4	0	6	0	50	1390	1002	257	0	28	Light attribute cards ATK x1.5, RCV x1.5.	20	16	9	400	0	1	
574	Solar Deity Apollo	光明神・アポロン	6	4	4	6	0	99	2758	1453	466	4	29	Light attribute cards HP x1.5, ATK x1.5, RCV x1.5.	25	16	9	400	0	0	
575	Persephone	ペルセポネ	5	5	0	6	0	50	1598	799	378	0	28	Dark attribute cards ATK x1.5, RCV x1.5.	20	16	9	400	0	1	
576	Hell Queen Persephone	冥府神・ペルセポネ	6	5	5	6	0	99	3139	1107	560	4	29	Dark attribute cards HP x1.5, ATK x1.5, RCV x1.5.	25	16	9	400	0	0	
577	Gold Moltdra	キンムギドラ	2	4	0	8	0	10	153	174	204	0	0	..	3	0	0	150	0	0	
578	Black Moltdra	クロムギドラ	2	5	0	8	0	10	156	172	204	0	0	..	3	0	0	150	0	0	
579	Will-O'-Wisp	ウィルオーウィスプ	1	1	0	5	0	15	151	315	42	0	0	..	2	0	0	150	0	0	
580	Flame Spirit Will-O'-Wisp	焔の霊魂・ウィルオーウィスプ	2	1	0	5	0	50	278	596	57	0	48	Fire attribute cards HP x2.	5	15	6	150	0	0	
581	Kelpie	ケルピー	1	2	0	2	0	15	205	188	86	0	0	..	2	0	0	150	0	0	
582	Water Horse Kelpie	湖の幻馬・ケルピー	2	2	0	2	0	50	508	355	116	0	48	Water attribute cards HP x2.	5	15	6	150	0	0	
583	Treant	トレント	1	3	0	3	0	15	364	33	130	0	0	..	2	0	0	150	0	0	
584	Wood Sage Treant	森の賢人・トレント	2	3	0	3	0	50	902	63	176	0	48	Wood attribute cards HP x2.	5	15	6	150	0	0	
585	Pixie	ピクシー	1	4	0	4	0	15	93	90	235	0	0	..	2	0	0	150	0	0	
586	Light Sprite Pixie	光の妖精・ピクシー	2	4	0	4	0	50	229	170	318	0	48	Light attribute cards HP x2.	5	15	6	150	0	0	
587	Werewolf	ワーウルフ	1	5	0	5	0	15	121	340	19	0	0	..	2	0	0	150	0	0	
588	Midnight Beast Werewolf	月夜の魔人・ワーウルフ	2	5	0	5	0	50	301	643	26	0	48	Dark attribute cards HP x2.	5	15	6	150	0	0	
593	Angeling	エンジェリング	4	1	0	8	0	1	977	623	405	0	0	..	12	20	16	150	0	0	
594	Archangeling	アークエンジェリング	4	2	0	8	0	1	966	627	403	0	0	..	12	8	6	150	0	0	
595	Deviling	デビルリング	4	5	0	8	0	1	954	630	401	0	0	..	12	13	8	150	0	0	
596	Hera-Is	ヘラ・イース	6	2	0	6	0	50	2161	1183	238	0	11	Dark attribute cards ATK x2.5.	40	30	18	500	0	0	
597	Awoken Hera-Is	覚醒ヘラ・イース	7	2	5	9	6	99	3504	1334	428	3	11	Dark attribute cards ATK x2.5.	60	30	18	500	0	0	
598	Hera-Ur	ヘラ・ウルズ	6	1	0	6	0	50	1951	1209	68	0	22	Devil type cards ATK x3.	40	15	11	500	0	0	
599	Awoken Hera-Ur	覚醒ヘラ・ウルズ	7	1	5	9	6	99	3444	1678	122	3	22	Devil type cards ATK x3.	60	15	11	500	0	0	
600	Shiny Pengdra	ピカペンドラ	2	4	0	8	0	10	255	178	128	0	0	..	4	0	0	100	0	0	
601	Topaz Pengdra	トパペンドラ	3	4	0	8	0	1	383	267	192	0	0	..	5	11	7	100	0	0	
602	Dark Pengdra	ヤミペンドラ	2	5	0	8	0	10	255	178	128	0	0	..	4	0	0	100	0	0	
603	Amethyst Pengdra	アメペンドラ	3	5	0	8	0	1	383	267	192	0	0	..	5	11	7	100	0	0	
604	Mechadon	メカドン	3	1	0	7	0	1	555	555	0	0	33	Turn orb sound effects into Taiko noises.	1	14	8	150	0	0	
605	Taiko Master! Don-chan	太鼓の達人！どんちゃん	4	4	0	4	0	70	1762	382	504	0	33	Turn orb sound effects into Taiko noises.	15	30	16	200	0	0	
606	Taiko God Don-chan	太鼓神どんちゃん	5	4	1	4	6	99	3102	688	636	2	138	Fire & Light attribute cards ATK x2. Turn orb sound effects into Taiko noises.	30	30	16	400	0	0	
607	Atsui-san	あついさん	3	1	0	5	0	25	624	502	128	0	0	..	5	0	0	150	0	0	
608	Merari! Atsui-san	メラリ！ あついさん	4	1	0	5	0	70	1347	1130	173	2	61	All attribute cards ATK x2.5 when attacking with Fire, Light & Dark orb types at the same time.	10	20	11	150	0	0	
609	White-san	ホワイトさん	3	2	0	4	0	25	621	314	317	0	0	..	5	0	0	150	0	0	
610	Uttorin White-san	うっとり～ん ホワイトさん	4	2	0	4	0	70	1342	708	428	2	61	All attribute cards ATK x2.5 when attacking with Water, Wood & Dark orb types at the same time.	10	20	11	150	0	0	
611	Kapibara-san	カピバラさん	4	3	0	3	0	35	1178	304	162	0	0	..	10	20	11	150	0	0	
612	Nobon Kapibara-san	のぼ～ん カピバラさん	5	3	2	3	0	99	2543	685	219	2	61	All attribute cards ATK x2.5 when attacking with Water, Wood & Light orb types at the same time.	15	20	11	300	0	0	
613	Hidamari-san	ひだまりさん	3	4	0	2	0	25	880	323	183	0	0	..	5	0	0	150	0	0	
614	Furawan Hidamari-san	ふらわ～ん ひだまりさん	4	4	3	2	0	70	1901	728	248	2	61	All attribute cards ATK x2.5 when attacking with Fire, Wood & Light orb types at the same time.	10	20	11	150	0	0	
615	Regent-kun	リーゼントくん	3	5	0	2	0	25	771	419	139	0	0	..	5	0	0	150	0	0	
616	Bun Bun Regent-kun	ブンブン リーゼントくん	4	5	0	2	0	70	1666	943	188	2	61	All attribute cards ATK x2.5 when attacking with Fire, Water & Dark orb types at the same time.	10	20	11	150	0	0	
617	Super King Ruby Dragon	超キングルビードラゴン	6	1	0	8	0	1	1000	500	100	0	0	..	1	16	9	200	0	0	
618	Super King Sapphire Dragon	超キングサファイアドラゴン	6	2	0	8	0	1	1000	500	100	0	0	..	1	16	9	200	0	0	
619	Super King Emerald Dragon	超キングエメラルドドラゴン	6	3	0	8	0	1	1000	500	100	0	0	..	1	16	9	200	0	0	
620	Archangel Uriel	大天使・ウリエル	5	1	4	6	0	50	1222	712	449	0	48	Fire attribute cards HP x2.	25	13	6	400	0	1	
621	Fire Dominion Uriel	神炎の熾天使・ウリエル	6	1	4	6	0	99	2445	1112	606	4	67	Fire attribute cards HP x2, RCV x2.	30	13	6	400	0	0	
622	Archangel Gabriel	大天使・ガブリエル	5	2	4	6	0	50	1219	718	447	0	48	Water attribute cards HP x2.	25	13	6	400	0	1	
623	Water Dominion Gabriel	神託の大天使・ガブリエル	6	2	4	6	0	99	2438	1119	603	4	67	Water attribute cards HP x2, RCV x2.	30	13	6	400	0	0	
624	Archangel Michael	大天使・ミカエル	5	3	4	6	0	50	1210	718	452	0	48	Wood attribute cards HP x2.	25	13	6	400	0	1	
625	Wood Dominion Michael	護法の大天使・ミカエル	6	3	4	6	0	99	2420	1119	611	4	67	Wood attribute cards HP x2, RCV x2.	30	13	6	400	0	0	
626	Archangel Raphael	大天使・ラファエル	5	4	4	6	0	50	1310	724	403	0	48	Light attribute cards HP x2.	25	23	8	400	0	1	
627	Light Dominion Raphael	神癒の大天使・ラファエル	6	4	4	6	0	99	2620	1128	545	4	67	Light attribute cards HP x2, RCV x2.	30	23	8	400	0	0	
628	Archangel Lucifer	大天使・ルシファー	5	5	4	6	0	50	1214	838	410	0	48	Dark attribute cards HP x2.	25	22	16	400	0	1	
629	Seraph of Dawn Lucifer	黎明の熾天使・ルシファー	6	5	4	6	0	99	2428	1206	554	4	67	Dark attribute cards HP x2, RCV x2.	30	22	16	400	0	0	
630	Belial	魔神・ベリアル	5	1	5	9	0	50	1370	1004	242	0	22	Devil type cards ATK x2.	25	17	11	400	0	1	
631	Flame Archdemon Belial	邪炎の魔神将・ベリアル	6	1	5	9	0	99	2740	1456	327	4	22	Devil type cards ATK x2.5.	30	17	11	400	0	0	
632	Amon	魔神・アモン	5	2	5	9	0	50	1298	936	313	0	64	Devil type cards ATK x1.5, RCV x1.5.	25	17	11	400	0	1	
633	Blizzard Archdemon Amon	義侠の魔神将・アモン	6	2	5	9	0	99	2595	1363	423	4	65	Devil type cards HP x1.5, ATK x1.5, RCV x1.5.	30	17	11	400	0	0	
634	Astaroth	魔神・アスタロト	5	3	5	9	0	50	1250	800	418	0	24	Devil type cards RCV x2.	25	17	11	400	0	1	
635	Wind Archdemon Astaroth	予見の魔神将・アスタロト	6	3	5	9	0	99	2500	1180	564	4	63	Devil type cards HP x2, RCV x2.	30	17	11	400	0	0	
636	Baal	魔神・バアル	5	4	5	9	0	50	1346	982	267	0	44	All attribute cards ATK x2.5 when HP is greater than 50%.	25	18	11	400	0	1	
637	Lightning Archdemon Baal	閃剣の魔神将・バアル	6	4	5	9	0	99	2693	1326	360	4	44	All attribute cards ATK x2.5 when HP is greater than 50%.	30	18	11	400	0	0	
638	Fallen Angel Lucifer	堕天使・ルシファー	5	5	5	9	0	50	1214	838	410	0	64	Devil type cards ATK x1.5, RCV x1.5.	25	19	16	400	0	1	
639	Dark Archdemon Lucifer	逆心の神魔王・ルシファー	6	5	5	9	0	99	2428	1206	554	4	64	Devil type cards ATK x2, RCV x2.	30	19	16	400	0	0	
640	Archangel Metatron	代行者・メタトロン	5	4	0	6	4	50	1226	647	383	0	97	Healer type cards ATK x3.5 when HP is greater than 80%.	30	11	8	500	0	1	
641	Voice of God, Metatron	神輝の代行者・メタトロン	6	4	4	6	4	99	2354	1280	863	5	97	Healer type cards ATK x3.5 when HP is greater than 80%.	50	11	8	500	0	0	
642	Dark Angel Metatron	執行者・メタトロン	6	5	0	6	5	50	1682	950	148	0	95	Attacker type cards ATK x4 when HP is less than 80%.	40	10	6	500	0	1	
643	Hand of the Dark God, Metatron	神魔の執行者・メタトロン	7	5	4	6	5	99	3230	1881	333	6	95	Attacker type cards ATK x4 when HP is less than 80%.	60	10	6	500	0	0	
644	Beelzebub	魔皇子・ベルゼブブ	6	5	0	9	0	50	1486	1492	0	0	62	Devil type cards HP x1.5, ATK x1.5.	40	15	11	500	0	0	
645	Archdemon Beelzebub	奈落の狂皇子・ベルゼブブ	7	5	2	9	5	99	2473	2015	0	3	62	Devil type cards HP x2, ATK x2.	60	15	11	500	0	0	
646	Satan	大魔王・サタン	6	5	0	9	0	50	1670	778	-9999	0	22	Devil type cards ATK x3.5.	40	35	21	500	0	0	
647	Satan, King of the Underworld	災禍の魔神王・サタン	7	5	2	9	0	99	6666	1111	-9999	3	22	Devil type cards ATK x3.5.	60	35	21	500	0	0	
648	Athena	アテナ	6	4	3	6	0	50	1531	1408	0	0	22	God type cards ATK x3.	40	15	11	500	0	0	
649	Awoken Athena	覚醒アテナ	7	4	3	6	0	99	2818	1901	0	3	22	God type cards ATK x3.	60	15	11	500	0	0	
650	Zeus-Dios	ゼウス・ディオス	6	3	0	6	0	50	2138	1169	258	0	39	All attribute cards ATK x3.5 when HP is less than 99%.	45	30	15	500	0	0	
651	Awoken Zeus-Dios	覚醒ゼウス・ディオス	7	3	4	6	2	99	3382	1368	464	3	39	All attribute cards ATK x3.5 when HP is less than 99%.	60	30	15	500	0	0	
652	Freyr, the Blazing Swordsman	焔剣の勝利神・フレイ	7	1	1	6	5	99	2775	1652	437	6	75	Fire attribute & Attacker type cards ATK x2, RCV x2.	35	17	9	400	0	0	
653	Idunn&Idunna, the Twin Archers	蒼穹の双星神・イズン＆イズーナ	7	2	2	6	2	99	3055	1352	529	6	75	Water attribute & Balanced type cards ATK x2, RCV x2.	35	17	9	400	0	0	
654	Freyja, the Fertility Goddess	緑聖の豊麗神・フレイヤ	7	3	3	6	4	99	2835	1215	670	6	75	Wood attribute & Healer type cards ATK x2, RCV x2.	35	17	9	400	0	0	
655	Thor, the Wielder of Mjolnir	雷槌の金剛神・トール	7	4	4	6	3	99	3563	1510	284	6	75	Light attribute & Physical type cards ATK x2, RCV x2.	35	17	9	400	0	0	
656	Loki, the Finisher	終焉の狡知神・ロキ	7	5	5	6	9	99	3208	1372	477	6	75	Dark attribute & Devil type cards ATK x2, RCV x2.	35	17	9	400	0	0	
657	Holy Thunderdragon Indra	天頂の雷霆龍・インドラ	7	4	4	6	1	99	3850	1467	219	6	77	Dragon attribute & God type cards HP x2, ATK x2.	40	20	6	400	0	0	
658	Evil Darkdragon Vritra	深潭の暗黒龍・ヴリトラ	7	5	5	6	1	99	3667	1625	111	6	79	Dragon attribute & God type cards ATK x2, RCV x2.	40	15	9	400	0	0	
659	Puzzdroid	パズドロイド	4	3	0	3	12	35	360	360	36	0	41	25% chance to deal counter Wood damage of 5x damage taken.	10	0	0	150	0	0	
660	Droidragon	ドロイドラゴン	5	3	0	3	1	99	3060	360	360	9	41	25% chance to deal counter Wood damage of 5x damage taken.	15	10	1	300	0	0	
661	Chaos Blizzard Dragon	カオスブリザードドラゴン	5	2	0	1	9	99	3040	1316	172	3	17	50% Water damage reduction.	25	9	6	400	0	0	
662	Cathy Crazy	キャシー・クレイジー	3	5	0	5	0	25	602	429	210	0	0	..	5	0	0	150	0	0	
663	Romantic★Cathy	ロマンティック★キャシー	4	5	0	5	0	70	1463	965	284	2	39	All attribute cards ATK x3 when HP is less than 30%.	10	18	11	150	0	0	
664	Ukai Magoroku	鵜飼孫六	3	2	0	2	0	25	634	397	208	0	0	..	5	0	0	150	0	0	
665	Blue Ninja, Ukai Magoroku	蒼翼忍者・鵜飼孫六	4	2	0	2	0	70	1542	893	281	2	16	20% all damage reduction.	10	17	11	150	0	0	
666	ECO Tiny Alma	ECO・タイニー・アルマ	5	4	0	2	0	99	2605	963	382	2	44	All attribute cards ATK x2 when HP is full.	18	20	8	300	0	0	
667	ECO Dumpty	ECO・ダンプティー	4	5	0	2	0	70	1384	809	149	0	43	20% all damage reduction when HP is full.	12	17	9	150	0	0	
668	ECO Dumpty Alma	ECO・ダンプティー・アルマ	5	5	0	2	0	99	2435	1165	201	2	43	20% all damage reduction when HP is full.	18	17	9	300	0	0	
669	Joker	ジョーカー	4	5	0	9	0	50	1296	828	0	0	12	Deal ATK x5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	10	0	0	300	0	0	
670	Joker+A. Blossom	ジョーカー＋Aブロッサム	5	5	0	9	0	99	2593	1863	0	2	12	Deal ATK x5 damage to all enemies after every orbs elimination. Ignores enemy element, but can be reduced by enemy defense down to 0 damage.	20	14	6	400	0	0	
671	Catwoman	キャットウーマン	4	1	0	4	0	50	518	621	342	0	54	Get x1.5 coins after a battle.	10	15	6	300	0	1	
672	Catwoman+C. Claw	キャットウーマン＋Cクロー	5	1	1	4	0	99	1635	1398	647	3	54	Get x1.5 coins after a battle.	20	15	6	300	0	0	
673	Robin	ロビン	4	3	0	2	0	50	1323	518	162	0	98	ATK x4 at 8 combos. ATK x2 for each additional combo, up to ATK x8 at 10 combos.	10	6	4	300	0	1	
674	Robin+E. Stick	ロビン＋Eスティック	5	3	3	2	0	99	2745	1365	307	3	98	ATK x4 at 8 combos. ATK x2 for each additional combo, up to ATK x8 at 10 combos.	20	6	4	300	0	0	
675	Batman+S. Gloves	バットマン＋Sグローブ	5	5	4	3	0	50	1751	599	17	0	96	Light attribute cards ATK x3.5 when HP is greater than 80%.	15	14	6	400	0	1	
676	Batman+S. Gloves Act	バットマン＋SグローブAct	6	5	4	3	0	99	3703	1348	32	4	96	Light attribute cards ATK x3.5 when HP is greater than 80%.	25	14	6	400	0	0	
677	Batman+Batarang	バットマン＋バットラング	4	5	5	5	0	50	995	756	97	0	45	Dark attribute cards HP x2, ATK x2.	10	11	4	300	0	1	
678	Batman+Remote Claw	バットマン＋遠隔クロー	5	5	5	5	0	99	2490	1700	183	8	45	Dark attribute cards HP x2, ATK x2.	20	11	4	300	0	0	
679	Batman+Batwing	バットマン＋バットウィング	5	5	2	2	0	50	1499	576	166	0	96	Dark attribute cards ATK x3.5 when HP is greater than 80%.	15	14	4	400	0	1	
680	Batman+BW Attack	バットマン＋BWアタック	6	5	2	2	0	99	2998	1295	313	4	96	Dark attribute cards ATK x3.5 when HP is greater than 80%.	25	14	4	400	0	0	
681	Manekimewdra	マネキニャドラ	3	4	0	8	0	1	3880	1	1	0	0	..	1	0	0	150	0	0	
682	Heavy Metal Dragon	ヘビーメタルドラゴン	6	5	0	1	0	50	1155	1299	-250	0	22	Dragon type cards ATK x3.5.	40	35	16	500	0	0	
683	Dragon Lord Zaerog	龍王・ゼローグ	7	5	0	1	0	99	2233	1520	0	3	22	Dragon type cards ATK x3.5.	50	35	16	500	0	0	
684	King Flamie	キングホノりん	3	1	0	5	0	50	1037	757	122	2	0	..	7	17	6	150	0	0	
