min_cooldown	effect	name	max_cooldown	
2	Inflict Fire damage equal to ATK x10 to all enemies. Affected by enemy element and defense.	Divine Flame of the Beauty	6	
10	Change Fire & Heart orbs to Water orbs. +1 combo count for 1 turn.	Divine Healing	15	
8	Recover 40% of max HP. Bind recovery for 4 turns. Reduces cooldown of other skills by 1 turn.	Divine Illumination	12	
8	God & Devil type cards ATK x2.5 for 2 turns. Inflict Dark damage equal to ATK x40 to 1 enemy in exchange for reducing HP to 1. Affected by enemy element and defense.	Divine Instrument Strike	13	
7	+1 combo count for 1 turn. Reduces cooldown of other skills by 1 turn.	Divine Luckbringer	12	
18	Deals damage equal to 20% of enemies' max HP.	Divine Purification	23	
15	Light attribute ATK x2 for 3 turns. Reduces cooldown of other skills by 2 turns.	Divine Reckoning	20	
5	Enhance Fire & Light orbs. +6% per orb, up to +180% for full board.	Divine Wind of Creation Flame	15	
12	+1 combo count for 1 turn. Change Light, Heart, Jammer, Poison & Mortal Poison orbs to Fire orbs.	Dogiragon Entry	17	
15	Inflict Light damage equal to ATK x50-100 to all enemies. Affected by enemy element and defense. Light & Fire attribute cards ATK x2 for 1 turn.	Don! Dokodon!	30	
7	Counter 10x damage taken with Dark for 1 turn. Reduces cooldown of other skills by 1 turn.	Don't come any closer!	12	
9	Randomly spawn 4 Fire & Heart orbs from non Fire & Heart orbs. Reduces cooldown of other skills by 1 turn.	Don't lay your hands on him!	14	
8	Recover 30% of max HP. Awoken Bind recovery for 3 turns. Change Dark, Jammer, Poison & Mortal Poison orbs to Heart orbs.	Don't leave me here.	13	
10	Increases time limit of orb movement by 1 second for 2 turns. Delay 1 turn to all enemies.	Don't talk down to me!!	15	
4	Inflict Dark damage equal to ATK x1-50 to 1 enemy. Affected by enemy element and defense.	Don't underestimate me!	14	
7	Change Wood orbs to Fire orbs, Dark orbs to Light orbs. Increases time limit of orb movement by 1 second for 1 turn.	Don't underestimate me.	12	
8	Change Heart & Light orbs to Dark orbs.	Double Attack Stance-Dk	16	
8	Change Heart & Water orbs to Fire orbs.	Double Attack Stance-Fr	16	
8	Change Heart & Dark orbs to Light orbs.	Double Attack Stance-Lt	16	
8	Change Heart & Fire orbs to Wood orbs.	Double Attack Stance-Wd	16	
8	Change Heart & Wood orbs to Water orbs.	Double Attack Stance-Wt	16	
7	Change Fire, Light, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 3 turns.	Double Dark Guard	12	
7	Change Wood, Light, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 3 turns.	Double Fire Guard	12	
7	Change Wood, Dark, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 3 turns.	Double Light Guard	12	
7	Change Fire, Dark, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 3 turns.	Double Water Guard	12	
7	Change Water, Light, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 3 turns.	Double Wood Guard	12	
9	Change all orbs to Fire, Dark & Heart orbs.	Draco Summon - Dark, Fire & Life	14	
12	Change all orbs to Fire & Dark orbs.	Draco Summoning Circle-Fr & Dk	19	
12	Change all orbs to Wood & Dark orbs.	Draco Summoning Circle-Wd & Dk	19	
12	Change all orbs to Water & Dark orbs.	Draco Summoning Circle-Wt & Dk	19	
12	Change all orbs to Light & Dark orbs.	Draco Summon - Light & Dark	17	
12	Dragon type cards ATK x2 for 1 turn. Delay 1 turn to all enemies.	Draggie Enhance	17	
9	Change Water orbs to Light orbs, Dark orbs to Heart orbs. Reduces cooldown of other skills by 1 turn.	Dragonband Compliant Rod	13	
11	Dragon type cards ATK x2.5 for 1 turn. Delay 1 turn to all enemies.	Dragon Enhancement	21	
8	All attribute cards RCV x2 for 4 turns. Recover 3000 HP.	Dragon Heart Sutra	18	
11	Inflict Poison damage equal to ATK x8 to all enemies every turn. Ignore enemy element and defense. Reduces cooldown of other skills by 1 turn.	Dragon Song - The Sea Deity	26	
10	Inflict Dark damage equal to ATK x10 to 1 enemy, and drain 100% of the damage you dealt. Affected by enemy element and defense.	Dragon Strength Spellflame	20	
6	Change Heart orbs to Dark orbs. Bind recovery for 3 turns.	Dragon Strike Stance - Dark	11	
6	Change Heart orbs to Fire orbs. Bind recovery for 3 turns.	Dragon Strike Stance - Fire	11	
6	Change Heart orbs to Light orbs. Bind recovery for 3 turns.	Dragon Strike Stance - Light	11	
6	Change Heart orbs to Water orbs. Bind recovery for 3 turns.	Dragon Strike Stance - Water	11	
6	Change Heart orbs to Wood orbs. Bind recovery for 3 turns.	Dragon Strike Stance - Wood	11	
9	Recover 50% of max HP. Full bind recovery. Awoken Bind recovery for 9999 turns. Reduces cooldown of other skills by 1 turn.	Draupnir	14	
7	Change Water, Jammer, Poison & Mortal Poison orbs to Light orbs. Reduces cooldown of other skills by 1 turn.	Dream Dragon Dance - White Cloud	12	
8	Change Wood & Heart orbs to Water orbs. Increase skyfall chance of Water orbs by 15% for 2 turns.	Dream Water	12	
10	Reshuffle all orbs.	Droidance	10	
13	Change Water, Poison & Mortal Poison orbs to Jammer orbs. Reduces cooldown of other skills by 2 turns.	Earnest Mode	28	
10	Deal 3000 Wood damage to all enemies. Affected by enemy element and defense.	Earth Ball	25	
10	Inflict Wood damage equal to ATK x5 to all enemies. Affected by enemy element and defense.	Earth Breath	20	
15	Wood attribute ATK x2 for 3 turns. Reduces cooldown of other skills by 1 turn.	Earth Enhancement	18	
9	Reduces cooldown of other skills by 1 turn. Wood attribute ATK x1.5 for 3 turns.	Earth Enhancement	17	
10	Avoid all Water  damage for 3 turns. Enhance Wood orbs. +6% per orb, up to +180% for full board.	Earth Field	20	
8	Change Dark orbs to Wood orbs, Fire orbs to Light orbs. Change Wood & Light orbs into locked orbs.	Earth Light Impact	18	
8	Change all orbs to Water, Wood & Dark orbs.	Eastern Seven-Star Formation	14	
4	Bind recovery for 4 turns.	Eat this!	9	
5	Inflict Dark damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense. 30% damage reduction for 1 turn.	Ebony Sea Dragon Broadside	18	
10	Avoid all Dark  damage for 1 turn.	Egg!	15	
15	Delay 4 turns to all enemies.	Eight-Headed Suppression	19	
9	Delay 2 turns to all enemies. Bind recovery for 2 turns.	Electric Impact	14	
9	Deal 10000 damage to all enemies. Ignore enemy element and defense. Delay 1 turn to all enemies.	Electric Shock Daccha	13	
13	Delay 1 turn to all enemies. Physical & Dragon type cards ATK x2 for 2 turns.	Electric Shock Meow!	18	
9	Change all orbs to Fire, Water & Wood & Light orbs. Deal 99 damage to all enemies. Ignore enemy element and defense.	Elegant Singing and Dancing	14	
15	Change all enemies attributes to Fire. ( Ignores status shield )	Elemental Jammer - Fire	20	
15	Change all enemies attributes to Water. ( Ignores status shield )	Elemental Jammer - Water	20	
15	Change all enemies attributes to Wood. ( Ignores status shield )	Elemental Jammer - Wood	20	
7	35% damage reduction for 1 turn. Bind recovery for 2 turns.	Elezar's Scythe	12	
8	Water attribute ATK x1.5 for 2 turns. Recover 25% of max HP.	Ell-Heal	13	
11	30% damage reduction for 1 turn. Change all orbs to Fire, Wood & Dark orbs.	Emerald Guard	22	
14	ATK x1 + ( 0.3x for every Enhanced Wood Attribute, Enhanced Dark Attribute on the team ) for 2 turns.	Emerald of Clarity	19	
9	Change Dark & Heart orbs to Fire orbs. Reduces cooldown of other skills by 1 turn.	Emergency Launch!	16	
5	Inflict Fire nuke damage equal to team Dark ATK x5 to all enemies. Change Light orbs to Jammer orbs.	Energy Beams	15	
10	Inflict damage equal to ATK x15 to 1 enemy. Affected by enemy element and defense.	Energy Bomb	30	
9	35% damage reduction for 1 turn. Change all orbs to Fire, Water & Wood & Light & Dark & Heart orbs.	Energy Geyser	24	
3	Enhance Dark orbs. +6% per orb, up to +180% for full board.	Enhanced Dark Orbs	15	
3	Enhance Fire orbs. +6% per orb, up to +180% for full board.	Enhanced Fire Orbs	15	
3	Enhance Light orbs. +6% per orb, up to +180% for full board.	Enhanced Light Orbs	15	
3	Enhance Water orbs. +6% per orb, up to +180% for full board.	Enhanced Water Orbs	15	
3	Enhance Wood orbs. +6% per orb, up to +180% for full board.	Enhanced Wood Orbs	15	
9	Reduces cooldown of other skills by 1 turn. Change left-most column into Fire orbs and the right-most column into Light orbs.	Espers... Heed my call.	14	
8	+1 combo count for 2 turns.	Ether Boost	13	
15	75% damage reduction for 3 turns.	Evasion	20	
12	Change Dark orbs to Wood orbs. +2 combo count for 1 turn.	Even if it kills me!	17	
9	Delay 1 turn to all enemies. Change Water, Poison & Mortal Poison orbs to Fire orbs.	Everlasting Stratagem	13	
9	Machine type cards ATK x1.2 for 8 turns.	Everybody Dance!	9	
10	Physical type cards ATK x2.5 for 2 turns. Deal 100000 damage to 1 enemy. Ignore enemy element and defense.	Evil Crest	15	
4	Deal 150000 Dark damage to all Light enemies. Affected by enemy element and defense. Enhance Dark orbs. +6% per orb, up to +180% for full board.	Evil Nova	19	
7	Increase skyfall chance of Heart orbs by 15% for 3 turns. Reduces cooldown of other skills by 1 turn.	Evil Will Not Be Tolerated-TAMA!	12	
7	Inflict Dark damage equal to ATK x30 to all enemies. Affected by enemy element and defense. Attacker type cards ATK x1.5 for 2 turns.	Evil Wind	19	
12	Inflict damage equal to ATK x5 to 1 enemy, and drain 100% of the damage you dealt. Affected by enemy element and defense. Avoid all Fire  damage for 1 turn.	Exactly as planned	22	
10	Inflict Water damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Dragon type cards ATK x1.3 for 2 turns.	Exa-Freeze Breath	20	
15	Inflict Dark nuke damage equal to team Wood ATK x20 to 1 enemy.	Execution	25	
16	ATK x1 + ( 0.7x for every Resistance-Dark on the team ) for 1 turn.	Eyes of Darkness	31	
23	Reduce 30% of all enemies' HP. Ignore enemy element and defense. Randomly spawn 4 Dark & Heart orbs from non Dark & Heart orbs.	Eyes of Hera	38	
9	Change Dark, Jammer, Poison & Mortal Poison orbs to Heart orbs. Bind recovery for 5 turns.	Family's Medicine	14	
10	Deal 3328 damage to all enemies. Ignore enemy element and defense.	Famitsu App Awakens	10	
12	Machine type cards ATK x3 for 1 turn.	Famitsu App Enthusiasm	17	
8	Change Light orbs to Poison orbs. Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense.	Fear Gas	18	
12	+2 combo count for 1 turn. Change all orbs to Fire, Water & Wood & Light & Heart orbs.	Fearless Prayer	17	
10	75% damage reduction for 1 turn. Change all orbs to Fire, Water & Wood & Light & Heart orbs.	Fearless Thunderblade	14	
5	Increase skyfall chance of Light orbs by 15% for 2 turns. Randomly spawn 2 Light orbs from non Light orbs.	Feathers of Heaven	20	
7	25% damage reduction for 1 turn. Reduces cooldown of other skills by 1 turn.	Fermata	17	
10	Change all orbs to Heart, Light & Dark orbs. Reduces cooldown of other skills by 1 turn.	Final Judgement	16	
6	Increase skyfall chance of Fire orbs by 15% for 3 turn. Randomly spawn 2 Fire orbs from non Fire orbs.	Fire Awakening	15	
10	Deal 3000 Fire damage to all enemies. Affected by enemy element and defense.	Fire Ball	25	
10	Inflict Fire damage equal to ATK x5 to all enemies. Affected by enemy element and defense.	Fire Breath	20	
5	Change Water orbs to Fire orbs.	Fire Orb Change	9	
5	Change bottom-most row into Fire orbs.	Fire Spell	9	
6	Change Fire & Jammer orbs to Water orbs. Change Heart, Poison & Mortal Poison orbs to Fire orbs.	Fire&Water Orbs Change	13	
6	Change Wood & Jammer orbs to Fire orbs. Change Heart, Poison & Mortal Poison orbs to Wood orbs.	Fire&Wood Orbs Change	13	
8	Attacker type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	Firing up nya!	11	
10	Inflict Water nuke damage equal to team Water ATK x10 to 1 enemy. Water attribute ATK x1.5 for 4 turns.	Five Chariots Wave Barrier	15	
7	Change all orbs to Fire, Water & Wood & Light & Dark orbs.	Five Colored Alchemy	12	
6	Increases time limit of orb movement by 1 second for 3 turns. Inflict Poison damage equal to ATK x1 to all enemies every turn. Ignore enemy element and defense.	Five Flower Scales	10	
2	Inflict Fire damage equal to ATK x5 to all enemies. Affected by enemy element and defense.	Flame Breath	10	
5	Deal 75000 Fire damage to all Wood enemies. Affected by enemy element and defense. Enhance Fire orbs. +6% per orb, up to +180% for full board.	Flame Burst	15	
8	Change top-most row into Fire orbs. Reduces cooldown of other skills by 1 turn.	Flame Charge	13	
9	Reduces cooldown of other skills by 1 turn. Fire attribute ATK x1.5 for 3 turns.	Flame Enhancement	17	
13	Inflict Fire damage equal to ATK x30 to 1 enemy. Affected by enemy element and defense.	Flame Gift	13	
8	Change Light orbs to Fire orbs, Dark orbs to Jammer orbs. Enhance Fire orbs. +6% per orb, up to +180% for full board.	Flame Hammer	18	
16	Change all orbs to Fire orbs.	Flame Ocean of Destruction	30	
8	Inflict Fire damage equal to ATK x30 to all enemies. Affected by enemy element and defense. Fire attribute ATK x1.5 for 1 turn.	Flame of Olympus	20	
10	Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Recover 1000 HP.	Flame Seed Breath	20	
10	Deal 35000 Fire damage to all Wood enemies. Affected by enemy element and defense.	Flame Strike	15	
7	Inflict Fire damage equal to ATK x30 to all enemies. Affected by enemy element and defense. Physical type cards ATK x1.5 for 2 turns.	Flame Wind	19	
12	Inflict Dark nuke damage equal to team Fire ATK x10 to 1 enemy. Randomly spawn 8 Fire orbs from non Fire orbs.	Flare Star	22	
12	Deal 10000 damage to all enemies. Ignore enemy element and defense. Fire & Dark attribute cards ATK x1.5 for 4 turns.	Flash Attack nya!	17	
5	Deal 1000 Light damage to all enemies. Affected by enemy element and defense.	Flash Ball	10	
5	Inflict Light damage equal to ATK x3 to all enemies. Affected by enemy element and defense.	Flash Breath	10	
10	Avoid all Dark  damage for 3 turns. Enhance Light orbs. +6% per orb, up to +180% for full board.	Flashing Field	20	
8	Change Dark orbs to Light orbs, Fire orbs to Heart orbs. Change Jammer, Poison & Mortal Poison orbs to Water orbs.	Flawless Devotion	12	
9	Change Wood orbs to Dark orbs, Light orbs to Heart orbs. Reduces cooldown of other skills by 1 turn.	Forbidden Box	13	
20	Delay 5 turns to all enemies.	Force	25	
8	Deal 999 damage to 1 enemy. Ignore enemy element and defense. Change all orbs to Fire, Water & Wood & Light & Dark & Heart orbs.	Force of All Orbs	13	
4	Change right-most column into Wood orbs.	Forest Sign	9	
15	Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. Avoid all Dark  damage for 3 turns.	Forsake	20	
8	Recover 25% of max HP. Enhance Wood & Light orbs. +6% per orb, up to +180% for full board.	Fortitudinous Rally	18	
5	Deal 75000 Water damage to all Fire enemies. Affected by enemy element and defense. Enhance Water orbs. +6% per orb, up to +180% for full board.	Freeze Burst	15	
5	Randomly spawn 3 Water & Dark orbs from non Water & Dark orbs. Change Water & Dark orbs into locked orbs.	Freeze Lock	15	
10	Deal 35000 Water damage to all Fire enemies. Affected by enemy element and defense.	Freeze Strike	15	
8	Reduce 10% of all enemies' HP. Ignore enemy element and defense. Enhance Water orbs. +6% per orb, up to +180% for full board.	Freezing Gravity	14	
4	Switch places with leader card. Use again to switch back.	Freezing Shift	16	
10	Randomly spawn 5 Water & Heart orbs from non Water & Heart orbs. Change Water & Heart orbs into locked orbs.	Freezing Zone	20	
10	Dark attribute ATK x2.5 for 3 turns. Inflict Dark damage equal to ATK x100 to 1 enemy in exchange for reducing HP by 50%. Affected by enemy element and defense.	Frenzied Dance of the Sacred Treasures	14	
8	Change Dark orbs to Water orbs, Wood orbs to Heart orbs.	Fresh!	13	
15	Water attribute ATK x2 for 3 turns. Reduces cooldown of other skills by 1 turn.	Frost Enhancement	18	
7	Reduce enemies' defense to 0 for 1 turn. Effects carry forward on sweep. Deal 100000 Wood damage to 1 enemy in exchange for reducing HP by 50%. Affected by enemy element and defense.	Futae no Kiwami	12	
6	Deal 20000 Wood damage to all enemies. Affected by enemy element and defense. Change Dark orbs to Wood orbs.	Gaia Ball	15	
7	Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Wood attribute ATK x1.5 for 2 turns.	Gaia Breath	29	
7	Inflict Wood damage equal to ATK x30 to all enemies. Affected by enemy element and defense. Attacker type cards ATK x1.5 for 2 turns.	Gaia Wind	19	
13	Delay 2 turns to all enemies. Water attribute ATK x2 for 2 turns.	Garyou Tensei Expertise	17	
10	Deal 200000 damage to 1 enemy. Ignore enemy element and defense. Randomly spawn 5 Dark orbs from non Dark orbs.	Gatotsu	15	
10	Deal Light damage to 1 enemy based on player's HP %. ATK x20 at 100% HP up to ATK x200 at 1 HP. Affected by enemy element and defense. Light attribute ATK x1.5 for 4 turns.	Gekiheki Haisui Sho	15	
8	Change left-most column into Light orbs and the right-most column into Dark orbs. Reduces cooldown of other skills by 1 turn.	Gemini Star Road	13	
9	Change all orbs to Wood, Light & Dark orbs. Reduces cooldown of other skills by 1 turn.	Genbu Seven-Star Formation	13	
8	Randomly spawn 8 Fire orbs from non Fire orbs.	Get out of here!! 8 Dragons!!	15	
22	Ignores enemy damage absorb effects for 1 turn ( does not include combo shield, attribute absorb, and damage void ). Randomly spawn 4 Dark orbs from non Dark orbs.	Get outta my face!	27	
13	Change all orbs to Fire, Wood & Light orbs. Reduces cooldown of other skills by 2 turns.	Get set for lots of special goodies!	18	
8	50% damage reduction for 1 turn. Balanced type cards ATK x1.5 for 1 turn.	Ghost Star's Gleam	18	
4	Inflict Wood damage equal to ATK x1-50 to 1 enemy. Affected by enemy element and defense.	Gigantic Gladiator	14	
10	Inflict Light damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Dragon type cards ATK x1.3 for 2 turns.	Gigavolt Breath	20	
5	Inflict Light damage equal to ATK x20 to 1 enemy. Affected by enemy element and defense. 30% damage reduction for 1 turn.	Gilded Sea Dragon Broadside	18	
6	God type cards ATK x1.2 for 3 turns. Increases time limit of orb movement by 1 second for 3 turns.	Gjallarhorn	16	
8	Recover RCV x10 HP. Bind recovery for 2 turns.	Gleaming Amaterasu Ring	13	
8	Reduce 10% of all enemies' HP. Ignore enemy element and defense. Enhance Light & Dark orbs. +6% per orb.	Gleaming Gravity	13	
6	Change Water orbs to Heart orbs. All attacks become multi-target for 1 turn.	Gleam of Sirius	16	
5	Enhance Wood & Light orbs. +6% per orb, up to +180% for full board.	Glitter of Aegis	15	
11	Inflict Water damage equal to ATK x40 to all enemies. Affected by enemy element and defense. Water attribute ATK x1.5 for 4 turns.	God Blizzard Breath	23	
11	Inflict Wood damage equal to ATK x40 to all enemies. Affected by enemy element and defense. Wood attribute ATK x1.5 for 4 turns.	God Gaia Breath	23	
23	Reduce 45% of all enemies' HP. Ignore enemy element and defense.	God Gravity	38	
12	Inflict Dark damage equal to ATK x40 to all enemies. Affected by enemy element and defense. Dark attribute ATK x1.5 for 4 turns.	God Hell Breath	23	
12	Inflict Light damage equal to ATK x40 to all enemies. Affected by enemy element and defense. Light attribute ATK x1.5 for 4 turns.	God Holy Breath	23	
11	Inflict Fire damage equal to ATK x40 to all enemies. Affected by enemy element and defense. Fire attribute ATK x1.5 for 4 turns.	God Magma Breath	23	
8	Change left-most column into Light orbs and the right-most column into Wood orbs. Reduces cooldown of other skills by 1 turn.	God Tree's Sacred Arrow	13	
8	Change Heart orbs to Light orbs, Dark orbs to Heart orbs. Recover 30% of max HP. Awoken Bind recovery for 3 turns.	Golden Staff	12	
12	Attacker type cards ATK x1.5 for 4 turns.	Go on! Pulverize 'em!	22	
11	Enhance Water & Dark orbs. +6% per orb. Delay 3 turns to all enemies.	Gorgon's Evil Gaze	16	
12	Reduces cooldown of other skills by 1 turn. Change top-most row into Light orbs and bottom-most row into Fire orbs.	Got a surprise for you!	17	
12	Inflict Light damage equal to ATK x50 to all enemies. Affected by enemy element and defense. Delay 1 turn to all enemies.	Grand Cross	19	
8	Delay 1 turn to all enemies. Enhance Wood orbs. +6% per orb, up to +180% for full board.	Grand Howl	16	
6	Recover 30% of max HP. Change Light orbs to Heart orbs.	Grape Shower	13	
15	Reduce 15% of all enemies' HP. Ignore enemy element and defense.	Gravity	25	
20	Reduce 35% of all enemies' HP. Ignore enemy element and defense.	Gravity Breath	35	
5	Deal 30000 Dark damage to all enemies. Affected by enemy element and defense. Enhance Dark orbs. +6% per orb, up to +180% for full board.	Gravity Cannon	20	
8	Reduce 10% of all enemies' HP. Ignore enemy element and defense. Change Jammer & Poison orbs to Heart orbs.	Gravity Room	12	
7	Change left-most column into Dark orbs. Reduces cooldown of other skills by 1 turn.	Gravity Signal	12	
12	Reduce 25% of all enemies' HP. Ignore enemy element and defense. Increases time limit of orb movement by 5 seconds for 5 turns.	Gravity World	17	
10	Balanced type cards ATK x2.5 for 2 turns. Deal 100000 damage to 1 enemy. Ignore enemy element and defense.	Green Crest	15	
8	Change Water orbs to Wood orbs, Fire orbs to Heart orbs. Enhance Heart orbs. +6% per orb.	Green Star Blade	13	
13	Deal 100000 damage to all enemies. Ignore enemy element and defense. Change all orbs to Fire & Light orbs.	Grimoire Shade	18	
12	Change all orbs to Fire & Light orbs.	Grimoire Sphere	19	
12	Inflict damage equal to ATK x10 to 1 enemy. Affected by enemy element and defense. Balanced type cards ATK x1.5 for 2 turns.	GROOVE COASTER	17	
7	Deal Dark damage to all enemies based on player's HP %. ATK x10 at 100% HP up to ATK x150 at 1 HP. Affected by enemy element and defense. Dark attribute ATK x1.5 for 1 turn.	Grudge Strike	15	
6	Reduce enemies' defense by 50% for 5 turns. Effects carry forward on sweep.	Guard Break	15	
9	Removes lock status on orbs. Change left-most column into Fire orbs and the right-most column into Heart orbs.	Guardian of the Universe	14	
9	Recover 50% of max HP. Change top-most row into Fire orbs.	Guardian Spirit of Core	14	
7	Removes lock status on orbs. Randomly spawn 3 Light & Dark orbs from non Light & Dark orbs.	Guardian Spirit of Cosmos	12	
6	Wood attribute ATK x1.2 for 5 turns. Increases time limit of orb movement by 1 second for 5 turns.	Guardian Spirit of Forest	11	
10	Deal 99 damage to all enemies. Ignore enemy element and defense. Change Dark & Jammer orbs to Light orbs.	Guardian Spirit of Land	15	
11	Inflict Water damage equal to ATK x100 to 1 enemy. Affected by enemy element and defense. Attacker & Machine type cards ATK x2 for 2 turns.	Guardian Spirit of Water	16	
5	Change Light orbs to Heart orbs.	Guard Stance - Dark	11	
5	Change Wood orbs to Heart orbs.	Guard Stance - Fire	11	
5	Change Dark orbs to Heart orbs.	Guard Stance - Light	11	
5	Change Fire orbs to Heart orbs.	Guard Stance - Water	11	
5	Change Water orbs to Heart orbs.	Guard Stance - Wood	11	
9	Recover 50% of max HP. Change top-most row into Fire orbs.	Guess I don't have a choice	14	
4	Randomly spawn 4 Light orbs from non Light orbs.	Guiding Light Hymn	9	
9	Inflict Light damage equal to ATK x50 to 1 enemy, and drain 15% of the damage you dealt. Affected by enemy element and defense. Bind recovery for 5 turns.Awoken Bind recovery for 5 turns.	Gungnir	17	
8	Inflict damage equal to ATK x10 to 1 enemy, and drain 100% of the damage you dealt. Affected by enemy element and defense. Bind recovery for 5 turns.	gungnir nya!	12	
9	Inflict Light damage equal to ATK x50 to 1 enemy, and drain 15% of the damage you dealt. Affected by enemy element and defense. Bind recovery for 5 turns.	Gungnir X	13	
10	Recover 1000 HP. Change all orbs to Fire, Water & Wood & Light & Dark & Heart orbs.	Gysahl Greens	11	
10	Inflict Wood damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Dragon type cards ATK x1.3 for 2 turns.	Hard Mistral Breath	20	
9	Change all orbs to Fire, Water & Wood & Light & Dark orbs. Reduces cooldown of other skills by 1 turn.	Harmonic Feather	14	
8	Physical type cards ATK x2 for 1 turn. Reduces cooldown of other skills by 1 turn.	Harpoon of Atlantis	13	
7	Removes lock status on orbs. Change Dark orbs to Fire orbs, Water orbs to Light orbs.	Haste makes waste, yo!	12	
5	Recover RCV x5 HP. Bind recovery for 2 turns. All attribute cards RCV x1.5 for 3 turns.	Heal	10	
8	Avoid all Dark  damage for 2 turns. Recover 25% of max HP.	Heal Barrier	13	
6	All attribute cards RCV x1.5 for 4 turns. Bind recovery for 4 turns.	Healing Cheer	11	
5	Change 2nd column from the right into Heart orbs.	Healing Cut	10	
5	Recover 2500 HP.	Healing Dance	5	
5	Change Light orbs to Heart orbs.	Healing Hymn	10	
5	Recover 3000 HP.	Healing Shout	5	
5	Increase skyfall chance of Heart orbs by 15% for 3 turns.	Healing Spot	10	
6	Reshuffle all orbs.	Hear the Cry of My Soul!!	11	
5	Deal 1000 Fire damage to all enemies. Affected by enemy element and defense.	Heat Ball	10	
5	Inflict Fire damage equal to ATK x3 to all enemies. Affected by enemy element and defense.	Heat Breath	10	
8	Deal 1000 damage to 1 enemy. Ignore enemy element and defense. Change all orbs to Fire, Water & Light orbs.	Heat Vision	13	
7	Randomly spawn 3 Light & Dark orbs from non Light & Dark orbs. Reduces cooldown of other skills by 1 turn.	Heaven and Earth Creation	12	
7	Change Heart, Jammer, Poison & Mortal Poison orbs to Fire orbs. Reduces cooldown of other skills by 1 turn.	Heavenly Destruction	12	
13	Reduce 25% of all enemies' HP. Ignore enemy element and defense.	Heavenly Splash	18	
13	75% damage reduction for 2 turns. Reduces cooldown of other skills by 1 turn.	Heaven-Shaking Lightning Wall	17	
15	Inflict Poison damage equal to ATK x10 to all enemies every turn. Ignore enemy element and defense. Attacker & Devil type cards ATK x2.5 for 1 turn.	Heavenstrom	17	
6	Deal 20000 Dark damage to all enemies. Affected by enemy element and defense. Change Water orbs to Dark orbs.	Hell Ball	15	
9	15% damage reduction for 9 turns.	Hellblaze Shield	24	
2	Deal 99 damage to 1 enemy. Ignore enemy element and defense.	Hell Fang	7	
10	Inflict Fire damage equal to ATK x20 to all enemies. Affected by enemy element and defense. Dragon type cards ATK x1.3 for 2 turns.	Hellfire Breath	20	
5	Reduce enemies' defense by 50% for 2 turns. Effects carry forward on sweep. Change Dark orbs to Fire orbs.	Hellish Inferno	7	
7	Increase skyfall chance of Dark orbs by 25% for 1 turns. Randomly spawn 3 Dark orbs from non Dark orbs.	Hellish Noise	22	
8	for every Enhanced Light Orbs on the team ) for 0 turn.	Hello, I'm Pepper	8	
5	Recover 4649 HP. Enhance Dark orbs. +6% per orb, up to +180% for full board.	Hell's Charge	10	
6	Change Fire & Water orbs to Heart & Poison orbs. Increase skyfall chance of Poison orbs by 15% for 3 turns.	Hell's Garden	16	
5	Inflict Dark nuke damage equal to team Light ATK x5 to 1 enemy. Change Heart orbs to Jammer orbs.	Hell's Judgment	15	
5	Reduce 5% of all enemies' HP. Ignore enemy element and defense.	Hell's Raging Wind	20	
55	Recover 555555 HP.	Here's to 5 years, TAMA!	55	
8	Physical type cards ATK x1.2 for 6 turns. Reduces cooldown of other skills by 1 turn.	Here...take half...	13	
8	Randomly spawn 4 Water, Dark & Jammer orbs from non Water, Dark & Jammer orbs.	Heritage Sword "Hyakka Ryoran"	18	
13	Change all orbs to Wood, Dark & Heart orbs. Reduces cooldown of other skills by 2 turns.	Heroic Blade	18	
15	75% damage reduction for 3 turns.	Heroic Dragon Guard	20	
10	Activate a random skill. This includes: Grimoire Shade, Aero Wake - Flare, Meteor Shot - Aqua, Baldin's Eyes, Starry Road - Flare, Healing Cut, Dimensional Formation - Mountain God	Heroine Power	10	
7	Recover 5000 HP. Bind recovery for 4 turns. Reduces cooldown of other skills by 1 turn.	Hey, again.	12	
12	Light & Dark attribute cards ATK x1.5 for 1 turn. Bind recovery for 2 turns.	Hieroglyphic Carvings	20	
7	Balanced & Devil type cards ATK x1.5 for 2 turns. Increases time limit of orb movement by 150% for 2 turns.	High King of the Seven Seas	12	
20	Ignores enemy damage absorb effects for 1 turn ( does not include combo shield, attribute absorb, and damage void ). +1 combo count for 1 turn.	Hiten Mitsurugi-ryu: Kuzu Ryusen	25	
